"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
           0,      -4.945062655,      -5.139187561,      -4.443865703,      -15.00268309,       -8.42103257
           1,      -4.947357829,      -5.141967248,      -4.446405831,      -15.17598379,       1.030318851
           2,      -5.607480648,      -5.567860245,       -5.11268313,       -15.1352968,      0.2288545933
           3,      -5.699916114,      -5.730065535,      -5.249935865,      -15.17307885,    -0.07442239283
           4,      -5.818201668,       -5.89430873,      -5.328143163,      -15.21812366,     -0.3546475502
           5,      -5.930394328,      -6.002668346,      -5.396672515,      -15.16666506,     -0.5136924282
           6,      -5.990219616,      -6.088768805,      -5.465476558,       -15.2342568,     -0.6659425954
           7,      -6.027043747,      -6.171572502,      -5.513419684,      -15.25757106,     -0.9259148923
           8,      -6.056502425,      -6.232460278,      -5.544850884,      -15.26886954,      -1.135452937
           9,      -6.081425523,      -6.277676051,      -5.568691026,      -15.27911755,      -1.260991607
          10,      -6.100488577,      -6.313230066,      -5.587620505,      -15.28457724,       -1.33334943
          11,      -6.115450954,      -6.344501572,      -5.603551294,        -15.285173,      -1.385756349
          12,      -6.127960724,      -6.372722084,      -5.617625593,      -15.28384177,      -1.421621539
          13,      -6.139208574,      -6.397269548,      -5.630638601,      -15.27722854,      -1.447200323
          14,      -6.149936256,      -6.417839695,      -5.643219586,        -15.208953,      -1.466620109
          15,      -6.160699207,      -6.434092158,      -5.656021828,      -14.84654622,      -1.485130009
          16,      -6.171922399,      -6.445626259,      -5.669602501,      -14.32854336,      -1.490336853
          17,      -6.183922881,       -6.45220778,       -5.68439391,      -13.84089723,      -1.480364528
          18,      -6.196981246,      -6.454103281,      -5.700752473,      -13.40225999,      -1.457044475
          19,      -6.211337781,      -6.452148928,      -5.718958882,      -13.00928507,      -1.424786813
          20,      -6.227144322,      -6.447616279,      -5.739207346,      -12.65764723,      -1.390230218
          21,      -6.244470898,       -6.44189319,      -5.761612149,      -12.34345959,      -1.358406976
          22,      -6.263327312,      -6.436269193,      -5.786218516,       -12.0633208,      -1.331936017
          23,      -6.283646999,      -6.431815423,      -5.813005105,      -11.81420872,      -1.311914363
          24,      -6.305309432,      -6.429329571,      -5.841894576,      -11.59343971,      -1.298411416
          25,      -6.328123806,      -6.429350624,      -5.872743531,       -11.3985415,      -1.290962816
          26,      -6.351910984,      -6.432223243,      -5.905370796,      -11.22727282,      -1.288965546
          27,      -6.376395606,      -6.438117201,      -5.939495957,      -11.07747698,      -1.291697569
          28,      -6.401286756,      -6.447126814,      -5.974767394,      -10.94716825,      -1.298090646
          29,      -6.426264933,      -6.459287768,      -6.010743709,      -10.83450961,      -1.307087403
          30,      -6.450766641,        -6.4746078,      -6.046753865,      -10.73782079,      -1.317468347
          31,      -6.474892855,      -6.493094622,      -6.082430958,      -10.65558997,      -1.328145302
          32,       -6.49791148,      -6.514683876,      -6.116817524,      -10.58639412,      -1.337309185
          33,      -6.519466948,      -6.539298131,      -6.149099167,      -10.52895388,      -1.342649876
          34,       -6.53927875,      -6.566798596,      -6.178513674,      -10.48213635,      -1.342746189
          35,      -6.556228298,      -6.597051865,      -6.203801685,       -10.4448922,       -1.33588563
          36,      -6.572635571,       -6.62957162,      -6.226448195,      -10.41625392,      -1.322279317
          37,      -6.586105574,      -6.663707643,      -6.244428916,      -10.39532862,      -1.302778555
          38,      -6.598149559,      -6.698019808,      -6.258972241,      -10.38127017,      -1.278380382
          39,      -6.607368281,      -6.731061178,      -6.269028266,      -10.37326839,      -1.251592841
          40,      -6.614172483,      -6.760598285,      -6.274821133,      -10.37053964,      -1.225402171
          41,      -6.618900052,      -6.783717145,      -6.276913284,      -10.37231933,       -1.20337561
          42,      -6.623610209,      -6.799036789,      -6.277383874,      -10.37786148,      -1.187786876
          43,      -6.626501602,      -6.803822126,      -6.275119677,      -10.38645177,      -1.183550484
          44,      -6.628669189,      -6.798952484,       -6.27137357,      -10.39740965,      -1.181241325
          45,      -6.629667491,      -6.783642988,      -6.265746358,      -10.41011055,       -1.17642833
          46,      -6.629907079,      -6.759655102,      -6.258612037,      -10.42399913,      -1.187363928
          47,      -6.625479777,      -6.722065901,      -6.244177014,      -10.43859744,      -1.208526175
          48,      -6.616425392,      -6.679649928,      -6.223802132,      -10.45352049,      -1.220825567
          49,      -6.601621177,      -6.636003715,      -6.198218449,      -10.46846805,      -1.242839492
          50,      -6.579653472,      -6.593833286,      -6.166835725,      -10.48322374,      -1.261099484
          51,      -6.552183828,      -6.548309309,      -6.131237435,      -10.49764263,      -1.284444967
          52,      -6.513747141,      -6.505735629,      -6.085815531,      -10.51163331,      -1.303932553
          53,      -6.468544679,      -6.453816233,      -6.033035759,       -10.5251479,      -1.322239365
          54,       -6.43565121,       -6.42395046,      -5.993721641,      -10.53816567,      -1.341380453
          55,       -6.39330147,      -6.372053677,      -5.943967035,      -10.55067704,      -1.347967171
          56,      -6.347201044,      -6.320257962,      -5.893522231,      -10.56268771,      -1.354574543
          57,      -6.317985464,      -6.290844148,      -5.857757611,      -10.57420518,      -1.349885395
          58,      -6.285964883,      -6.252418701,      -5.820629153,      -10.58523603,      -1.357082535
          59,      -6.249139288,       -6.20974098,      -5.776046134,        -10.595793,      -1.372448714
          60,      -6.218038658,      -6.174226663,      -5.740760701,      -10.60588733,      -1.379952922
          61,      -6.186287749,      -6.137948353,      -5.702300049,      -10.61553291,      -1.394923064
          62,      -6.161764866,      -6.106865652,      -5.669366018,      -10.62475255,      -1.410876478
          63,      -6.134243454,      -6.075912296,      -5.634369194,      -10.63356892,      -1.418097242
          64,      -6.113007315,      -6.051186232,      -5.605966972,      -10.64200066,      -1.413835742
          65,      -6.092040925,      -6.028602061,      -5.577451327,      -10.65006198,      -1.412595869
          66,      -6.072136891,      -6.008736759,      -5.552421052,      -10.65775796,      -1.401593108
          67,      -6.049291253,      -5.986152693,      -5.523452001,      -10.66508521,      -1.397116441
          68,      -6.027316313,      -5.965497694,      -5.496001138,      -10.67200397,      -1.390560528
          69,      -6.003714447,      -5.943065988,      -5.466022854,      -10.67843238,      -1.385846217
          70,      -5.978408652,      -5.920035847,      -5.434483213,      -10.68422623,       -1.36865422
          71,      -5.947118062,      -5.890717811,      -5.395609924,      -10.68917494,       -1.36827443
          72,      -5.904333259,      -5.861970784,      -5.342282108,       -10.6929464,      -1.357260709
          73,        -5.8587792,      -5.867533757,      -5.285783562,      -10.69509346,      -1.356566539
          74,      -5.831681648,      -5.877986832,      -5.254717997,      -10.69497035,      -1.333860674
          75,      -5.811499568,      -5.871770208,      -5.228174534,      -10.69169587,      -1.341513548
          76,      -5.808220854,       -5.88250608,      -5.223274541,      -10.68432699,      -1.315962784
          77,      -5.807440614,      -5.891966947,      -5.222856695,      -10.67157015,      -1.316548043
          78,      -5.804642225,      -5.893145953,      -5.220017656,      -10.65244441,      -1.307526444
          79,      -5.803176231,      -5.888597086,      -5.218488999,      -10.62582473,      -1.289583054
          80,      -5.804268108,      -5.883242583,      -5.219894196,      -10.59120903,      -1.314815335
          81,      -5.808608066,        -5.8805357,      -5.225476189,      -10.54885566,      -1.282807175
          82,      -5.815999915,      -5.877501766,      -5.233527903,      -10.49934464,      -1.287916226
          83,      -5.823905282,      -5.877419351,      -5.241946549,      -10.44366965,      -1.294491728
          84,      -5.832846106,      -5.879001981,      -5.250574638,      -10.38331846,      -1.270121488
          85,      -5.840172945,      -5.878036116,      -5.256756999,      -10.31945166,       -1.29016616
          86,      -5.845840047,       -5.88327053,      -5.262494544,      -10.25287169,      -1.268154038
          87,      -5.851893896,      -5.892950434,      -5.270663004,      -10.18501345,      -1.255424003
