"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
           0,      -4.224091088,      -4.434065366,      -3.718726016,      -14.20538452,      -7.449084124
           1,       -4.22659448,      -4.437120859,      -3.721538098,      -14.34607915,        -4.2309378
           2,      -4.895745771,      -4.841982706,      -4.394566058,      -14.65296439,      -3.921859215
           3,      -5.003243977,      -5.008421699,      -4.562716116,      -12.70074124,       -3.87579201
           4,      -5.104621012,      -5.149002913,      -4.618457733,      -11.06097811,      -3.837470696
           5,      -5.218613698,      -5.231573177,      -4.655275055,      -10.35649563,      -3.554002977
           6,      -5.292475533,      -5.303268705,      -4.749287942,      -10.02912988,      -3.261068711
           7,      -5.323826419,      -5.363546677,      -4.795473082,      -9.855502906,      -3.096400469
           8,      -5.406085399,      -5.469044228,      -4.894906782,      -9.698436058,      -2.940367325
           9,      -5.431579143,      -5.508970316,      -4.924321911,      -9.697551457,      -2.939754237
          10,      -5.493800446,      -5.568821915,      -4.983194477,      -9.652530374,      -2.893940321
          11,      -5.558382526,      -5.649516908,      -5.052192582,       -9.71572703,      -2.954766607
          12,       -5.61616784,      -5.704674447,      -5.113959659,      -9.721110632,      -2.958476926
          13,      -5.587827163,      -5.627522589,      -5.058563999,      -9.752490715,      -2.983144697
          14,      -5.660821374,      -5.708148247,      -5.124598674,      -9.766183915,      -2.990627457
          15,       -5.69625718,      -5.714853285,      -5.141324397,      -9.808738389,      -3.005460618
          16,      -5.811435895,      -5.768159401,       -5.24123972,      -9.822816402,      -2.977028979
          17,      -5.894464649,      -5.801034779,      -5.308176059,      -9.868581996,      -2.892657803
          18,      -6.001409491,      -5.842600832,      -5.405238017,      -9.882144192,      -2.757430604
          19,      -6.096990959,      -5.874780325,      -5.505709382,      -9.923510473,       -2.66185011
          20,      -6.144306649,      -5.903593576,      -5.578496911,      -9.941524907,      -2.626080563
          21,      -6.135910095,      -5.894848732,      -5.585895831,      -9.980881939,      -2.536872926
          22,      -6.119456481,      -5.895218107,      -5.592896251,      -9.994866956,      -2.470421344
          23,      -6.089964422,      -5.883877585,      -5.557605463,      -10.03505669,      -2.402464505
          24,      -6.041536688,      -5.856192618,      -5.510954435,      -10.04930103,      -2.358681363
          25,      -5.931555104,      -5.794767183,      -5.386277781,       -10.0842226,      -2.513150352
          26,      -5.895075691,      -5.793614341,      -5.353176111,       -10.0978487,      -2.515320609
          27,      -5.829530371,       -5.75042433,       -5.27310709,      -10.13002074,       -2.70003064
          28,      -5.794552087,      -5.744833926,      -5.244756784,      -10.14188859,       -2.67125658
          29,      -5.721480551,      -5.700886868,      -5.173721139,      -10.17172817,      -2.707352732
          30,      -5.703652058,      -5.684726963,      -5.156667564,      -10.18425463,      -2.606967988
          31,      -5.659408215,       -5.66862158,      -5.113973313,      -10.21083325,      -2.520057454
          32,      -5.625594065,      -5.656560995,      -5.083084188,      -10.21993126,      -2.349217545
          33,      -5.571277519,      -5.627682565,      -5.036111603,      -10.23862565,      -2.398072007
          34,       -5.54113816,      -5.594085255,      -5.008533417,       -10.2390872,      -2.479628232
          35,      -5.518757169,      -5.559468639,      -4.989504898,      -10.23250208,      -2.612256551
          36,      -5.496999883,      -5.562528872,      -4.965646706,      -10.20016508,       -2.60111858
          37,      -5.451568467,      -5.526186888,      -4.915762556,      -10.12485387,      -2.655720636
          38,       -5.41371081,      -5.504497308,      -4.876934468,      -10.03078523,       -2.60744673
          39,       -5.40753364,      -5.507468463,      -4.870956057,      -9.873572651,      -2.606201591
          40,      -5.367240489,      -5.502310175,      -4.826790479,      -9.734415293,      -2.574742716
          41,      -5.313483149,      -5.440376596,      -4.763686046,      -9.540936457,      -2.611698675
          42,       -5.19246794,       -5.20302133,      -4.649785855,      -9.382310084,      -2.551502114
          43,      -5.212107513,      -5.340515711,      -4.682025791,       -9.17153542,      -2.595969791
          44,      -5.233189083,       -5.35395291,      -4.709528989,      -9.004760513,      -2.519122729
          45,      -5.247349756,      -5.269641787,      -4.693784083,      -8.785379886,      -2.589858399
          46,      -5.228038186,      -5.241752929,      -4.669470322,      -8.611790161,      -2.516354135
          47,      -5.236747814,      -5.322294862,      -4.685518627,      -8.385539265,       -2.61895773
          48,      -5.237819396,      -5.318291454,      -4.683605391,      -8.207944249,      -2.520484612
          49,      -5.207486229,      -5.335375959,      -4.643767474,       -7.97728912,      -2.594179065
          50,      -5.217728085,      -5.343616264,      -4.656855276,      -7.805455493,      -2.518210178
          51,      -5.236162973,      -5.335801173,       -4.67800648,      -7.598549349,      -2.545734196
          52,      -5.235326248,       -5.33581708,      -4.680527351,       -7.46687328,      -2.448062744
          53,      -5.184189874,      -5.395705328,      -4.623235077,      -7.316845121,       -2.50901556
          54,      -5.209572988,      -5.421720927,      -4.654819584,      -7.226477921,      -2.442921804
          55,      -5.270494271,      -5.400832431,      -4.711383544,      -7.116688325,      -2.466418114
          56,      -5.313016269,      -5.387044728,      -4.755961554,      -7.056480074,      -2.407830758
          57,       -5.26671622,      -5.399405683,      -4.706307374,      -6.985466274,      -2.490055602
          58,      -5.210268429,       -5.42808707,      -4.648310845,      -6.956289696,       -2.41444487
          59,      -5.171295352,      -5.409191362,      -4.606719635,      -6.905711664,      -2.469789754
          60,      -5.201010753,      -5.371680407,      -4.640995705,      -6.907595979,       -2.36735246
          61,      -5.203358918,      -5.314612018,      -4.643198616,      -6.880847305,      -2.412857411
          62,       -5.14075611,      -5.314791558,      -4.575985396,      -6.882009998,      -2.311581249
          63,      -5.140408656,      -5.332228173,      -4.580826525,      -6.860073834,      -2.360628921
          64,      -5.186749312,      -5.261232965,      -4.631460069,      -6.847634363,      -2.293469241
          65,      -5.139500307,      -5.282023002,      -4.572667995,       -6.81149254,      -2.374141348
          66,      -5.161896939,       -5.33448623,      -4.606490944,      -6.779523385,      -2.303856571
          67,      -5.195439282,      -5.309094946,      -4.647163769,      -6.767973337,      -2.369995818
          68,      -5.205835143,      -5.307249951,      -4.648563383,      -6.725062309,      -2.322895381
          69,      -5.198275061,      -5.310700177,       -4.64024842,      -6.710796555,       -2.43454974
          70,      -5.196211072,      -5.352232248,      -4.640816778,      -6.693400644,      -2.383695196
          71,      -5.284635808,      -5.394616546,       -4.72368435,      -6.686902307,      -2.465230204
          72,      -5.402098656,      -5.433564581,      -4.839523574,      -6.680507855,      -2.442651386
          73,      -5.489374738,      -5.312358045,      -4.924221308,      -6.689544455,      -2.546730387
          74,       -5.39296269,      -5.229842533,       -4.82514621,      -6.677752316,      -2.520798196
          75,      -5.237206085,      -4.953672876,      -4.655425335,      -6.690994583,      -2.604814146
          76,      -4.947220055,      -4.974973551,      -4.342934069,      -6.676711888,      -2.584430109
          77,      -4.975585971,      -5.046707218,      -4.381210638,      -6.682199538,      -2.666858459
          78,      -4.964113521,      -4.999663256,      -4.380986247,      -6.660469242,      -2.632366618
          79,      -5.040432773,      -4.997283693,      -4.453987098,      -6.670048116,       -2.68725848
          80,      -5.088076407,       -4.97598078,      -4.507911481,      -6.638420265,      -2.653222771
          81,      -5.197491114,      -5.040957595,      -4.594459627,      -6.622346638,      -2.693416856
          82,      -5.170736901,       -5.09598457,      -4.578058657,      -6.564390745,       -2.65824606
          83,      -5.203127163,       -5.17147747,      -4.617978875,      -6.548019078,      -2.676447748
          84,      -5.180586888,      -5.053592469,      -4.610773872,      -6.490329087,      -2.648265401
          85,      -5.007381902,      -4.978906092,      -4.427003888,      -6.483632006,      -2.666159642
          86,      -5.011712538,      -4.941319251,      -4.430410422,       -6.42598046,       -2.62751964
          87,      -5.090689028,      -5.002857713,      -4.495737988,      -6.431535647,      -2.663988387
          88,      -5.085794878,       -5.04274138,      -4.486334339,      -6.361702526,      -2.637166867
          89,      -5.133837429,        -5.0199947,      -4.531104864,      -6.355505874,      -2.623468287
          90,      -5.211111824,      -5.192680962,       -4.63285253,      -6.312620557,      -2.608725053
          91,      -5.240040758,      -5.244930508,      -4.667181893,      -6.321748968,      -2.652091675
          92,      -5.238962595,      -5.263913427,      -4.667476589,      -6.268738639,      -2.628205256
          93,      -5.266618794,       -5.26851468,      -4.682940943,      -6.292808546,      -2.636719931
          94,      -5.328015324,      -5.317430475,      -4.755311014,      -6.272974471,      -2.643310414
          95,      -5.384526348,      -5.368820704,      -4.812694209,      -6.321960889,      -2.687948805
          96,      -5.409341118,      -5.434753402,      -4.846815315,      -6.341432607,      -2.709053792
          97,      -5.394724153,      -5.489317908,       -4.81768645,      -6.439123867,      -2.765865401
          98,      -5.370205886,      -5.408377902,      -4.790734689,      -6.425673537,      -2.742579245
          99,      -5.256507031,      -5.275195856,      -4.644309242,      -6.481715018,      -2.773425357
         100,       -5.35229516,      -5.310755516,      -4.749041358,      -6.398869847,        -2.7405394
         101,      -5.219742938,      -5.218080659,       -4.61436466,      -6.415821676,      -2.720446771
         102,      -5.310446358,      -5.168649539,      -4.701917552,       -6.29749809,      -2.685641847
         103,       -5.31167701,      -5.143865475,      -4.714865132,      -6.295949721,      -2.673503823
         104,      -5.243030143,       -5.09276267,      -4.642022354,      -6.249951073,      -2.664345717
         105,      -5.216798488,       -4.96309786,      -4.594747146,      -6.293971208,      -2.695141988
         106,      -5.108658726,      -4.953195695,       -4.53155857,      -6.297821729,      -2.672859844
         107,      -5.159758448,      -4.921244488,      -4.564101389,      -6.388881058,      -2.696666933
         108,      -5.098230873,      -4.858095272,      -4.509019261,      -6.443011491,      -2.698043228
         109,      -5.043525686,      -4.918292933,      -4.462776488,      -6.596559834,      -2.709261695
         110,      -5.188103413,      -5.006647539,      -4.580997939,        -6.7117974,       -2.68214407
         111,      -5.060727702,      -4.905443367,       -4.50032345,      -6.843011771,      -2.737863179
         112,      -5.169209043,      -5.015672537,      -4.590683156,      -6.802580129,      -2.753081025
         113,      -5.262710117,      -5.133684469,      -4.668266731,      -6.746851336,      -2.739969669
         114,      -5.245173299,      -5.193906161,      -4.655745579,      -6.655762569,       -2.71928378
         115,      -5.273639897,      -5.170748517,      -4.679166625,       -6.62419535,      -2.757122147
         116,      -5.234396645,      -5.104801434,      -4.640498189,      -6.529708942,       -2.72342425
         117,      -5.121252984,       -5.00084098,      -4.509361412,      -6.452881132,      -2.524231425
         118,      -5.186783549,      -4.950330413,      -4.569970985,      -6.387945579,      -2.386843671
         119,      -4.997017273,        -4.7953793,      -4.391796154,      -6.357248711,       -2.34839071
         120,      -5.067800933,      -4.783100232,      -4.450347275,       -6.27818053,      -2.348957328
         121,      -4.964858708,      -4.710206933,       -4.37503944,      -6.175351102,      -2.322028506
         122,      -5.031773024,      -4.747552711,      -4.408945373,      -6.145298867,      -2.274278207
         123,      -5.106099009,        -4.7960011,      -4.478890256,      -6.128862451,      -2.304491641
         124,      -5.239951638,      -4.914056321,      -4.606336675,      -6.229713606,      -2.403676961
         125,      -5.345992423,      -5.006920508,      -4.709251828,      -6.261863955,      -2.528113505
         126,      -5.450718259,      -5.112980543,      -4.809756143,      -6.380839098,      -2.695290399
         127,      -5.519379794,      -5.174415869,      -4.884359992,      -6.392303723,      -2.702271374
         128,       -5.61489689,       -5.25473813,      -4.985879675,      -6.449430359,      -2.730806126
         129,      -5.621348377,      -5.221343705,      -5.007958042,      -6.417971631,      -2.714932872
         130,       -5.62456786,      -5.190166937,      -5.008101551,      -6.413546018,      -2.740305531
         131,      -5.758451118,      -5.219394083,      -5.121112166,      -6.367284034,      -2.737436405
         132,      -5.817737775,      -5.307186918,      -5.180098037,      -6.434918488,      -2.819000563
         133,       -5.86408538,      -5.403829408,      -5.237281749,      -6.476377732,      -2.874193974
         134,      -5.966683583,      -5.556036237,      -5.339088001,      -6.681446147,      -3.049252691
         135,      -6.075974757,      -5.704308324,      -5.459123234,      -6.823283241,      -3.143028095
         136,      -6.180860653,      -5.854536575,       -5.56905504,      -6.974632599,       -3.24597813
         137,      -6.245463474,      -5.972911857,      -5.645583456,      -7.015175693,       -3.27659954
         138,       -6.32927231,      -6.094576717,      -5.724709543,      -7.082480221,       -3.32549883
         139,      -6.400058305,      -6.182570961,      -5.801485475,      -7.111875619,      -3.349971027
         140,      -6.443231724,      -6.240190579,      -5.848048438,      -7.182954497,      -3.398015038
         141,      -6.498771284,      -6.304777069,      -5.915121715,      -7.218237968,        -3.4249592
         142,      -6.530099035,      -6.328079152,      -5.948366505,      -7.300635391,      -3.475243706
         143,      -6.565052905,      -6.367233787,      -5.991642098,      -7.340142915,      -3.505122547
         144,      -6.563039344,      -6.366183012,      -5.989951401,      -7.435688316,      -3.556038688
         145,      -6.576136369,      -6.384924526,      -6.008437276,      -7.478583915,      -3.591905256
         146,      -6.555976666,      -6.362699136,      -5.986239458,      -7.578636412,      -3.651145795
         147,      -6.566322997,      -6.381850687,       -6.00187899,      -7.568416596,      -3.675977406
         148,      -6.544205752,      -6.353119906,      -5.978460656,      -7.526283044,      -3.631604464
         149,       -6.54411982,      -6.359402594,        -5.9826182,      -7.463990345,      -3.611647051
         150,      -6.510493522,      -6.321348082,      -5.944333374,      -7.401884121,      -3.553004179
         151,      -6.509581839,      -6.326193665,      -5.945224258,       -7.36403146,      -3.523764199
