"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
           0,      -4.946447239,      -5.099109079,       -4.44327408,      -15.12423468,      -8.766307671
           1,       -4.94881384,      -5.101942933,      -4.445852956,      -15.37454789,        1.47775402
           2,       -5.59309841,      -5.574452965,       -5.09451781,      -14.93729288,       0.680811861
           3,      -5.717060488,      -5.791097039,      -5.258219494,      -15.00563149,       0.268042533
           4,      -5.852774819,      -5.931272044,      -5.350333548,      -15.04177339,    -0.08595877365
           5,      -5.952963782,      -6.018866587,      -5.424056178,      -15.05860442,     -0.3059748828
           6,      -6.006063061,      -6.109237889,      -5.482031236,      -15.06945729,     -0.5427637068
           7,      -6.036803575,      -6.188866504,      -5.521442811,       -15.0776487,     -0.7674924499
           8,      -6.061526735,      -6.243768106,      -5.549314057,      -15.08433682,     -0.9199671851
           9,      -6.083371691,      -6.285173492,      -5.571538732,      -15.08768767,       -1.02740988
          10,      -6.101752009,      -6.319651408,      -5.590047757,      -15.08798311,      -1.091152979
          11,      -6.115550728,      -6.349847899,      -5.605031433,      -15.08847967,      -1.135955148
          12,      -6.127473861,      -6.376331091,      -5.618387671,      -15.08814021,      -1.168624973
          13,      -6.138555125,      -6.399567641,      -5.630956583,      -15.08554891,      -1.196157785
          14,      -6.149062669,      -6.419153854,      -5.643180152,      -15.05749952,      -1.207808509
          15,      -6.159133815,      -6.434208967,      -5.655373932,      -14.80871293,      -1.205088069
          16,      -6.169785364,      -6.444655474,      -5.668433129,      -14.31832486,      -1.190266764
          17,      -6.181187031,      -6.449858662,      -5.682761927,      -13.83151476,      -1.163689111
          18,      -6.193654219,      -6.449529888,      -5.698634147,      -13.39296888,      -1.128162384
          19,      -6.207467329,      -6.444204075,       -5.71630789,      -13.00068039,      -1.089386249
          20,      -6.221310699,      -6.434258737,      -5.735113362,      -12.65000741,      -1.051184869
          21,      -6.236871499,      -6.422076405,      -5.756108263,      -12.33684113,      -1.018871999
          22,       -6.25200469,      -6.399865928,      -5.777188993,       -12.0576842,     -0.9928703836
          23,      -6.264587509,      -6.382079657,      -5.798087789,      -11.80947803,     -0.9720938586
          24,      -6.270356099,      -6.323337635,      -5.809354819,       -11.5894736,     -0.9565827723
          25,      -6.275512728,      -6.305407643,      -5.824783427,      -11.39521432,     -0.9475984275
          26,      -6.252839155,      -6.229008602,      -5.807453811,      -11.22440825,     -0.9424155658
          27,      -6.227248531,      -6.145293533,      -5.774953611,      -11.07497899,     -0.9386456731
          28,      -6.211822514,      -6.143307464,      -5.779309206,      -10.94493155,     -0.9409863247
          29,      -6.162100544,       -6.07482463,      -5.746840064,      -10.83246616,      -0.941084205
          30,      -6.142212961,      -6.015872346,       -5.71548033,      -10.73588343,     -0.9422860798
          31,      -6.118223582,      -5.991185721,      -5.700615006,      -10.65361747,     -0.9450280252
          32,      -6.080294106,      -5.944707948,      -5.661990358,      -10.58431198,     -0.9403413521
          33,      -6.041836422,       -5.91019703,      -5.622717585,      -10.52669103,      -0.928282612
          34,       -6.00072465,       -5.88657902,      -5.581356177,      -10.47956502,     -0.9167720186
          35,      -5.957091605,      -5.870297194,      -5.535402436,      -10.44186301,     -0.8975993402
          36,       -5.91996241,      -5.856280222,      -5.487811609,      -10.41263416,     -0.8811355873
          37,      -5.877775775,      -5.842211535,      -5.435731294,      -10.39094971,     -0.8560888505
          38,      -5.852053111,      -5.835407705,      -5.399308154,      -10.37594818,      -0.828413043
          39,      -5.832770913,      -5.825696672,      -5.369717843,      -10.36681189,     -0.8060522244
          40,      -5.816043471,      -5.816420281,      -5.345788628,      -10.36274966,      -0.775238397
          41,        -5.8019973,      -5.801522271,      -5.323177142,      -10.36299455,     -0.7535518686
          42,      -5.787922686,      -5.780685357,      -5.301136871,      -10.36681489,     -0.7314570392
          43,      -5.774699506,      -5.758388782,       -5.28076246,      -10.37351305,     -0.7155543267
          44,      -5.764797761,      -5.737054368,       -5.26333018,      -10.38243329,     -0.7051829369
          45,      -5.756808625,      -5.718365224,      -5.247579326,      -10.39299071,     -0.6878513301
          46,      -5.750763683,      -5.703385781,      -5.233371365,      -10.40465955,     -0.6742109754
          47,      -5.744679021,      -5.690526885,      -5.219525791,      -10.41700192,      -0.664462245
          48,        -5.7382807,      -5.680364002,      -5.205946303,      -10.42966629,     -0.6496562902
          49,      -5.733598444,      -5.673441633,      -5.194780673,      -10.44237356,     -0.6343951841
          50,      -5.731040222,      -5.668987233,      -5.186029844,      -10.45492732,     -0.6214572129
          51,      -5.728026777,      -5.664916468,      -5.175587676,      -10.46718748,     -0.6107084695
          52,      -5.723111901,      -5.658733947,      -5.161183267,      -10.47906696,     -0.5938174315
          53,      -5.722301252,      -5.657325962,      -5.151848053,      -10.49051655,     -0.5829596537
          54,      -5.725621713,      -5.661392936,      -5.148427573,        -10.501483,     -0.5731424364
          55,      -5.723620215,      -5.663392154,      -5.138468222,      -10.51198293,     -0.5478696021
          56,      -5.724394546,      -5.670511702,       -5.13449886,       -10.5219509,     -0.5281990659
          57,      -5.720855449,      -5.677437286,      -5.126191826,      -10.53133121,     -0.5053301694
          58,      -5.715091091,      -5.678550175,      -5.120373213,      -10.54014273,     -0.4738958732
          59,      -5.709481693,      -5.683739699,      -5.117054418,      -10.54831976,     -0.4551312599
          60,      -5.697003302,      -5.690062469,      -5.110513202,      -10.55567826,     -0.4141374369
          61,      -5.660034591,      -5.686223909,      -5.073396228,       -10.5618714,     -0.3855918994
          62,      -5.654899675,      -5.662670115,      -5.063455385,      -10.56638584,     -0.3226490155
          63,      -5.657357614,       -5.65342344,      -5.065061252,      -10.56886515,     -0.3067485662
          64,      -5.649073511,      -5.659990349,      -5.059595838,      -10.56887439,     -0.3340393606
          65,      -5.670047227,      -5.689146261,      -5.100578498,      -10.56491753,     -0.3069403275
          66,      -5.659786778,      -5.686666716,      -5.095947863,      -10.55483522,     -0.2228567738
          67,      -5.666812876,      -5.697080098,      -5.117095786,      -10.53924109,     -0.2635473041
          68,      -5.655787409,      -5.688277885,      -5.112735906,      -10.51641738,     -0.2339934853
          69,      -5.653551755,      -5.688390701,      -5.118693207,      -10.48499093,     -0.1864760197
          70,      -5.656011963,      -5.686603524,      -5.133724468,      -10.44629126,      -0.216648854
          71,      -5.645112574,      -5.675349408,        -5.1270032,      -10.39807976,     -0.2164354715
          72,      -5.643853791,      -5.669904427,      -5.138014333,      -10.34067767,      -0.186208352
          73,      -5.635860222,      -5.657824277,      -5.143420388,      -10.28314517,     -0.2197183637
          74,      -5.621162908,      -5.641282724,      -5.136670529,      -10.21690134,     -0.1929495599
          75,      -5.620471131,      -5.620225804,      -5.145356109,      -10.14686321,     -0.1694171092
          76,      -5.629376722,      -5.590864624,      -5.159245456,       -10.0770529,     -0.2001101226
          77,      -5.623894901,      -5.565764297,      -5.156815372,      -10.01560267,     -0.1677514564
          78,      -5.618436508,      -5.543718454,      -5.156495779,      -9.960893783,     -0.1708030272
          79,      -5.623767594,      -5.521703257,      -5.167165264,      -9.929651569,     -0.2094948813
          80,      -5.631696599,       -5.50151452,      -5.175070089,      -9.911636273,     -0.1959859688
          81,      -5.577682647,      -5.392656842,      -5.085267267,      -9.900408658,     -0.2243552006
          82,      -5.583057663,      -5.383394914,      -5.092100849,      -9.901205057,      -0.276077852
          83,      -5.610536191,      -5.394463563,      -5.132656333,      -9.912221745,     -0.2814778207
          84,      -5.658106636,      -5.407102331,      -5.189184538,       -9.93076935,     -0.3325839864
          85,       -5.67769712,      -5.430874701,      -5.196673801,      -9.971962266,     -0.3871577732
          86,      -5.683729672,       -5.45375865,      -5.204074795,      -10.01064261,     -0.3873795102
          87,      -5.700927123,      -5.501389922,      -5.218828461,       -10.0397587,     -0.4622248491
          88,      -5.715878712,      -5.551774339,      -5.239143554,      -10.05315926,     -0.5079271645
          89,      -5.743306871,      -5.602210044,      -5.269401887,      -10.07348926,     -0.5352321412
          90,      -5.768308935,      -5.651694263,      -5.296553678,      -10.08353569,     -0.5733837476
          91,      -5.792242612,      -5.697970872,      -5.323342645,      -10.10408366,      -0.601559291
          92,      -5.809000995,      -5.728328086,      -5.344081084,      -10.11483267,     -0.6705208561
          93,      -5.824136769,      -5.764669424,      -5.374160291,      -10.09974607,     -0.6886854233
          94,      -5.837537654,      -5.802396557,      -5.397983715,      -10.08777495,     -0.7020585247
          95,      -5.851247446,      -5.839767625,        -5.4222643,      -10.07064952,     -0.7370978852
          96,      -5.866223804,      -5.872759876,      -5.449202991,      -10.06171273,     -0.7630274496
          97,      -5.882903301,      -5.901818869,      -5.476386157,      -10.04747881,      -0.777551469
          98,      -5.901111239,      -5.930969426,      -5.503887221,       -10.0245908,     -0.7711345193
          99,      -5.920075089,       -5.95975538,      -5.530925222,      -9.987659805,     -0.7832771455
         100,      -5.939936479,      -5.987253025,      -5.556709266,      -9.941613028,     -0.7700363544
         101,      -5.961401038,      -6.012323214,      -5.581245352,      -9.888472932,     -0.7515962123
         102,       -5.98483321,      -6.034461091,      -5.606743196,      -9.832720249,     -0.7375139578
         103,      -6.011013009,      -6.053681124,      -5.635092648,      -9.772454034,     -0.7237088247
         104,      -6.039466857,      -6.069795384,       -5.66533864,      -9.711375705,     -0.7095517446
         105,      -6.068524846,      -6.082315916,      -5.696673162,      -9.653186042,     -0.7090664657
         106,      -6.095260264,      -6.090613318,      -5.727348051,        -9.6009363,     -0.7171181244
         107,      -6.117597946,      -6.093317443,      -5.754745246,      -9.567992499,     -0.7296251419
         108,      -6.135345271,      -6.098773061,      -5.783436273,       -9.54833438,     -0.7445988576
         109,      -6.143743036,      -6.093810975,      -5.798604694,      -9.535691039,     -0.7578928627
         110,      -6.145303994,      -6.084759514,      -5.807012459,      -9.525203634,     -0.7739434644
         111,      -6.136501131,      -6.058400626,      -5.786731986,      -9.531570746,     -0.7845997388
         112,      -6.146554951,      -6.078738875,      -5.831919742,        -9.5423075,     -0.7978942734
         113,      -6.147440888,      -6.067132053,      -5.842318219,      -9.541053659,     -0.7999235064
         114,      -6.146701618,      -6.052701393,      -5.840639479,      -9.510880212,     -0.8185303266
         115,      -6.144240307,      -6.035915987,      -5.821959529,      -9.463443792,     -0.8313108373
         116,      -6.143624801,      -6.026391747,      -5.815910823,      -9.441795675,     -0.8278989285
         117,       -6.13279835,      -6.012598853,      -5.787902886,       -9.43856206,      -0.809458534
         118,      -6.113635201,      -6.004903664,      -5.750290153,      -9.428053259,     -0.8190208657
         119,      -6.038073141,      -5.939927779,      -5.628808275,      -9.372138683,     -0.8003815811
         120,       -5.95493745,       -5.88141497,      -5.538960359,      -9.265491298,     -0.7773902777
         121,      -5.423342962,      -5.419945298,      -4.925178647,       -9.11780155,     -0.7545493677
         122,      -5.213658382,      -5.137476692,      -4.766751287,      -8.962426825,     -0.7145683453
         123,       -5.28605747,      -5.113781456,      -4.869603095,      -8.814018909,     -0.6695252011
         124,      -5.223751277,      -5.064212099,      -4.788923997,      -8.698481968,     -0.6351071633
         125,      -5.275265483,      -5.111286875,      -4.849096992,      -8.605279513,     -0.6349036582
         126,       -5.31585822,      -5.082520263,      -4.846440634,      -8.531989645,     -0.6046325638
         127,      -5.317495949,      -5.078961527,      -4.827076848,      -8.472877898,     -0.5878853466
         128,      -5.362527279,      -5.159237853,      -4.868278481,      -8.429327355,     -0.5735507653
         129,      -5.436769638,      -5.255573187,      -4.950397739,      -8.403855478,     -0.5327680086
         130,       -5.52726526,      -5.338126163,       -5.04027011,      -8.392513725,     -0.4898589563
         131,      -5.525433807,      -5.428796756,      -5.052959991,      -8.376921396,     -0.4793209078
         132,      -5.525349005,      -5.458646649,      -5.056319539,      -8.365537861,     -0.4882010955
         133,       -5.55742035,      -5.479304066,      -5.084459456,      -8.334123698,     -0.4900940918
         134,      -5.581529676,      -5.501086331,      -5.100800688,      -8.287000545,     -0.4908672618
         135,      -5.595883122,      -5.525268763,      -5.105308675,      -8.231320157,     -0.4999862277
         136,      -5.603207104,      -5.550328097,      -5.106708006,      -8.175957323,     -0.4743053056
         137,      -5.608557966,      -5.562917605,      -5.096352608,        -8.1178695,     -0.4491918276
         138,       -5.62068457,      -5.578178504,       -5.10095431,      -8.055769251,     -0.4259816202
         139,      -5.608999105,      -5.590831342,      -5.077018028,       -7.99142264,     -0.4191776703
         140,      -5.596835006,      -5.599541493,      -5.061719643,      -7.933542143,     -0.3816252927
         141,      -5.589755304,      -5.602720102,      -5.057706464,      -7.871097457,     -0.3483824415
         142,       -5.57182367,      -5.590241758,      -5.036886388,      -7.820712327,     -0.3504905017
         143,      -5.570730735,      -5.600109365,      -5.047158777,      -7.777133029,       -0.31507573
         144,       -5.56387147,      -5.598820179,      -5.048410709,      -7.733041535,     -0.2645687286
         145,      -5.554861376,      -5.598550282,      -5.044619674,      -7.701794101,     -0.2566237849
         146,      -5.550522236,      -5.601390539,      -5.044749337,      -7.668663658,     -0.2389953752
         147,      -5.551353036,      -5.603772486,      -5.050917231,      -7.636603733,     -0.2048732726
         148,      -5.549148444,       -5.60912617,      -5.053252688,      -7.612538656,     -0.2191478442
         149,      -5.544780849,      -5.613228149,      -5.053912501,      -7.597271864,     -0.1829125951
         150,      -5.548817342,      -5.622274411,      -5.067471029,      -7.577481376,     -0.1858963945
         151,      -5.553351673,      -5.623056274,      -5.075635794,      -7.559302727,     -0.2026523847
         152,      -5.564739972,      -5.623485893,      -5.091149462,      -7.547116543,     -0.1556017173
         153,      -5.576816153,      -5.624546238,      -5.109731008,      -7.529656998,     -0.1813777556
         154,      -5.590506096,      -5.631985719,      -5.129684882,      -7.515422372,     -0.1590053438
         155,       -5.60887668,      -5.638491203,      -5.154900865,      -7.504359171,     -0.1480772687
         156,       -5.62182233,      -5.642034673,      -5.173518225,      -7.491351131,     -0.2013458367
         157,      -5.630806101,      -5.640311597,      -5.187748308,      -7.479118652,      -0.145391467
         158,      -5.640228561,      -5.631553097,      -5.202687041,      -7.468088114,      -0.240601424
         159,      -5.649446812,      -5.613694791,      -5.215319111,       -7.45038932,     -0.2332760488
         160,      -5.654939381,      -5.587028327,      -5.222044476,      -7.432130508,     -0.2149117037
         161,      -5.636239822,      -5.519780869,      -5.192433905,      -7.408670682,     -0.3391918771
         162,      -5.642779663,      -5.504520835,      -5.205292433,       -7.38531246,     -0.3479588987
         163,      -5.610354546,      -5.451888353,      -5.153581823,      -7.373242742,     -0.3430557038
