"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,          56,      -4.013499155,      -1.223360292,      -1.548541124,       1.562876621,      0.1764938031,       4.511128823
          0,           0,          57,      -4.053214719,      -1.261443776,      -1.586557006,       1.521344612,     0.07212930882,       4.407689326
          0,           0,          58,      -4.116808615,      -1.310731576,      -1.630816621,       1.457091689,    -0.03285328895,       4.298026928
          0,           0,          59,      -4.181732983,      -1.358902888,       -1.66898343,       1.392222769,     -0.1376019978,       4.181493039
          0,           0,          60,      -4.279402971,      -1.415729129,      -1.732467592,       1.296179099,     -0.2395846533,        4.05979351
          0,           0,          61,      -4.371469438,      -1.469703324,      -1.795241242,        1.20550823,     -0.3355678067,       3.942293851
          0,           0,          62,      -4.484523766,      -1.527627834,      -1.877709722,       1.094714945,     -0.4212917656,        3.84591469
          0,           0,          63,      -4.575632653,      -1.581594643,      -1.953381986,       1.004267064,     -0.4941417061,        3.78289293
          0,           0,          64,      -4.665118288,      -1.635328762,      -2.033387537,      0.9162947956,     -0.5539773611,       3.748584568
          0,           0,          65,       -4.72506435,      -1.686622531,      -2.099203138,      0.8559563608,     -0.6043563398,       3.727990065
          0,           0,          66,      -4.776015972,      -1.738403413,      -2.157579173,       0.805530932,     -0.6500719815,       3.708194897
          0,           0,          67,      -4.818308349,      -1.790946363,      -2.204294678,      0.7625443899,     -0.6949802416,       3.682979214
          0,           0,          68,       -4.85697721,      -1.844352716,      -2.240899742,      0.7238600007,      -0.743757619,       3.646079762
          0,           0,          69,      -4.902944404,      -1.899354068,      -2.273526863,      0.6774020834,     -0.7970381142,       3.600817383
          0,           0,          70,      -4.949273625,      -1.953935197,      -2.306513354,      0.6312959815,     -0.8559713411,        3.54817967
          0,           0,          71,      -5.007575588,      -2.009010023,      -2.344952297,      0.5733714877,     -0.9207293285,       3.488346176
          0,           0,          72,      -5.064887088,      -2.062487474,      -2.384873511,      0.5169960005,     -0.9908607959,       3.421204315
          0,           0,          73,      -5.132029225,      -2.115214806,      -2.430943282,      0.4512622021,      -1.065521042,       3.348542354
          0,           0,          74,      -5.195390602,      -2.165507637,      -2.476749488,      0.3895994295,      -1.143524646,       3.269980506
          0,           0,          75,      -5.264230811,      -2.215964031,      -2.528273461,      0.3225133196,      -1.224705146,       3.188212083
