2.763392217468740863e-03 2.499989765214009729e+00
9.119194317646817094e-02 2.499662252062309520e+00
1.851779829283769496e-01 2.504869711174339209e+00
2.681104538104108759e-01 2.510118109430331756e+00
3.620657892043477322e-01 2.509770126706650561e+00
4.669825803942438958e-01 2.492714879331873412e+00
5.663418827912307663e-01 2.470124659693365921e+00
6.545555032444270172e-01 2.430909053691687305e+00
7.316848504697766042e-01 2.386178944998260221e+00
8.087527889791823466e-01 2.330337952633410481e+00
8.967207745686036624e-01 2.246678811946042131e+00
9.846887601580249783e-01 2.163019671258673782e+00
1.182547642928786447e+00 1.962286860581745396e+00
1.440894110904141101e+00 1.705774466255910893e+00
1.699240578879495311e+00 1.449262071930076168e+00
1.919083781958119017e+00 1.226225615622377196e+00
2.117034777802795809e+00 1.042159130452582350e+00
2.204879945960329657e+00 9.362782224223691330e-01
2.287474668904672548e+00 8.804167604855384077e-01
2.359138640411028831e+00 8.468180050355145205e-01
2.419810451763453329e+00 8.243710724008757040e-01
2.486039751908787565e+00 8.074591120299676739e-01
2.546834380693099753e+00 8.072339467381741684e-01
2.613186498270321678e+00 8.125437537101101171e-01
2.679569320205513527e+00 8.234090025177573935e-01
2.751540335291589479e+00 8.453646654248458958e-01
2.867756330215135208e+00 8.727120135917960653e-01
3.055943340224755111e+00 9.220150246658342930e-01
3.460043395492600204e+00 1.037185024461138916e+00
3.847501688739687786e+00 1.141305549300964062e+00
4.378840603442982093e+00 1.278226516283544667e+00
5.087312959286022007e+00 1.464491433484125915e+00
5.806869588356907919e+00 1.656270853376456076e+00
6.415737006939185250e+00 1.820682455529855082e+00
6.880662395349313343e+00 1.941182731869076861e+00
7.284731746259185847e+00 2.050797289828669712e+00
