X_45.1,Y_45.1,X_60.1,Y_60.1,X_75.0,Y_75.0,X_100.6,Y_100.6,X_150.4,Y_150.4,X_199.6,Y_199.6,X_250.2,Y_250.2
0.8119868809353975,1.0010447698569211,0.811946087824072,0.9996832123526204,0.8066348247294836,1.0024084252926615,0.8066348247294836,1.0024084252926615,0.8120276740467233,1.0024063273612218,0.8065532385068322,0.99968531028406,0.8065532385068322,0.99968531028406
1.0169151549905124,1.0009650484622163,1.0223080043077521,1.0009629505307767,1.0223080043077521,1.0009629505307767,1.0169151549905124,1.0009650484622163,1.022348797419078,1.0023245080350776,1.0331344960535578,1.0023203121721982,1.0169559481018382,1.002326605966517
1.211016937299822,0.9995279654260899,1.2002312386653422,0.9995321612889692,1.1948383893481025,0.9995342592204087,1.1948383893481025,0.9995342592204087,1.1947568031254514,0.9968111442118073,1.2001496524426911,0.9968090462803676,1.2055832948712566,0.9981685058532288
1.3996850771805667,0.9967314228171024,1.410389189592395,0.9940041119456217,1.4050779264978064,0.9967293248856628,1.4051187196091317,0.9980908823899636,1.399725870291892,0.9980929803214031,1.4050779264978064,0.9967293248856628,1.3996850771805667,0.9967314228171024
1.7662356583075751,0.9911425334620065,1.755490752784421,0.9925082868291865,1.7554499596730957,0.9911467293248857,1.7608020158790096,0.9897830738891453,1.7554499596730957,0.9911467293248857,1.7662764514189004,0.9925040909663073,1.7662356583075751,0.9911425334620065
1.9384396984573207,0.9788213821172325,1.938398905345995,0.9774598246129317,1.9437917546632346,0.9774577266814921,1.9437917546632346,0.9774577266814921,1.9437509615519093,0.9760961691771913,1.9437917546632346,0.9774577266814921,1.9383173191233438,0.9747367096043302
2.094057259542091,0.9528909495237696,2.10476137195392,0.9501636386522889,2.099450108859331,0.95288885159233,2.0941388457647427,0.9556140645323712,2.099450108859331,0.95288885159233,2.09936852263668,0.9501657365837285,2.083230767796286,0.9515335878823481
2.2526200832645675,0.8452649687408216,2.242405488188646,0.8643309696639114,2.253028014377823,0.8588805437838292,2.252946428155172,0.8561574287752276,2.258420863695063,0.8588784458523896,2.258135311915784,0.8493475433222842,2.2527832557098697,0.8507111987580246
2.4534772048093907,0.5293018084169009,2.4589924334606073,0.5333843829983635,2.458747674792654,0.525215037972559,2.458870054126631,0.5292997104854613,2.4587884679039798,0.5265765954768598,2.4533956185867396,0.5265786934082994,2.464222110332545,0.527936055049721
2.4685951318666453,0.4938950195107623,2.474028774295211,0.4952544790836235,2.468513545643994,0.49117190450216086,2.468676718089297,0.4966181345193639,2.4577686401208405,0.4925376578693408,2.463079903215429,0.48981244492929954,2.484569714261738,0.4870809381949396
2.6553541541373535,0.24737758570049906,2.649920511708788,0.24601812612763807,2.644446076168897,0.24329710905047608,2.649961304820114,0.24737968363193874,2.6552317748033767,0.24329291318759683,2.649798132374811,0.24193345361473584,2.644486869280222,0.24465866655477675
2.676191275402453,0.22286115889732705,2.6868953878142814,0.22013384802584646,2.6707168398625614,0.22014014182016528,2.681665710942344,0.22558217597448893,2.686936180925607,0.22149540553014713,2.686976974036933,0.2228569630344479,2.6868138015916303,0.2174107330172449
2.82653836650396,0.20101749674820613,2.810196646106938,0.19557756052532194,2.8210231378527433,0.19693492216674346,2.8156302885355036,0.19693702009818304,2.8048853830123495,0.19830277346536296,2.810196646106938,0.19557756052532194,2.8048037967896984,0.1955796584567615
3.117303505410332,0.18592707590315927,3.1064770136645263,0.18456971426173785,3.1118698629817665,0.18456761633029828,3.117303505410332,0.18592707590315927,3.111829069870441,0.1832060588259974,3.1063954274418752,0.1818465992531363,3.117221919187681,0.1832039608945577
3.628726742098957,0.15577350732178064,3.62247723744388,0.12718289766290425,3.628033259206422,0.13262702974866758,3.633466901634988,0.1339864893215289,3.6279108798724455,0.12854235723576535,3.6439670484901883,0.12445139092854429,3.627829293649794,0.12581924222716379
3.97214762910437,0.2781815130281541,3.9612477097581777,0.09437334787899099,3.9612477097581777,0.09437334787899099,3.96680373152072,0.09981747996475454,3.955936446663589,0.09709856081903223,3.961288502869504,0.09573490538329188,3.9505028042350245,0.09573910124617113
4.614100663412541,0.2847396467083454,4.612264973402891,0.22346955901481125,4.616189270712411,0.17445139092854434,4.607492179377799,0.06416733101162231,4.607329006932497,0.058721100994419295,4.601936157615257,0.058723198925858866,4.601895364503932,0.057361641421558085
5.293844436052718,0.29264465237276027,5.286289551835223,0.22048420257625967,5.279632116066891,0.1782780178743757,5.289112435138953,0.13470398187387211,5.2914865942181,0.03394662862417641,5.291568180440752,0.03666974363277786,5.296838650424014,0.03258297318843595
5.9895627910879865,0.29373557672135264,5.982130286204468,0.22565979943775416,5.96464635869033,0.18209625309444866,5.990223639491461,0.1357928082910249,5.988591915038438,0.08133050811899456,5.986878604362764,0.024145092938362644,5.9922714536800035,0.024142995006922963
6.663954507522249,0.30300423782150776,6.667185321939233,0.23083959216212802,6.660405506836924,0.1845487349473417,6.675278675226226,0.14097260101539866,6.668417273901266,0.09195862879201089,6.6568565061516,0.06609323207317563,6.666092066555708,0.014349851046867368
7.267953631053114,0.3027692695002725,7.238664177121357,0.22517098141232728,7.253578138621984,0.18295640498468502,7.252191172836914,0.13666344983845913,7.229192016671562,0.08901732891369085,7.239121059968204,0.06042042546049564,,
