"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
           0,      -4.943621343,      -5.117111449,      -4.442548386,      -15.06676321,      -8.612649411
           1,      -4.945948938,      -5.119910862,      -4.445099843,      -15.27600825,       1.285384621
           2,      -5.595168116,      -5.567915047,      -5.100937963,      -15.02407736,      0.4880851198
           3,      -5.706854893,       -5.75836444,      -5.252827305,       -15.0823357,      0.1254193917
           4,      -5.834142706,      -5.910751004,      -5.335393851,      -15.11662491,     -0.2002963346
           5,       -5.94153365,       -6.00736369,      -5.409298827,      -15.13466227,     -0.3843938517
           6,      -5.999022703,      -6.096663848,      -5.473721208,      -15.14964564,     -0.5741283106
           7,      -6.032968646,      -6.179064375,      -5.517628712,      -15.16019749,     -0.8408741912
           8,      -6.059850011,      -6.236323453,      -5.547548361,      -15.16921122,      -1.009176694
           9,      -6.083244369,      -6.279839337,      -5.570855201,      -15.17602539,      -1.118094303
          10,      -6.101897713,      -6.316178259,       -5.58961818,      -15.17834377,      -1.197320106
          11,      -6.116582506,      -6.348308434,      -5.605253248,      -15.17961926,      -1.251592008
          12,      -6.128866906,      -6.376805737,      -5.618999452,      -15.17970216,       -1.28644458
          13,      -6.139802833,      -6.401512744,      -5.631647905,      -15.17790266,      -1.315618684
          14,      -6.150347875,      -6.421781787,      -5.643982645,       -15.1312222,      -1.333890429
          15,      -6.160964502,      -6.437434019,       -5.65659286,      -14.81499142,      -1.339478797
          16,      -6.172052209,       -6.44816746,        -5.6700052,      -14.30785496,       -1.33070998
          17,       -6.18389138,      -6.453767532,      -5.684613978,      -13.82411226,      -1.308289154
          18,      -6.196828104,      -6.454639179,      -5.700814646,      -13.38893791,      -1.275778562
          19,      -6.211071934,      -6.451761163,      -5.718912766,      -12.99891783,      -1.238222794
          20,      -6.226762536,      -6.446460723,      -5.739116059,      -12.64963718,      -1.201558673
          21,      -6.244058546,      -6.440110547,      -5.761573694,      -12.33726947,      -1.168933244
          22,      -6.262872386,      -6.433976203,       -5.78626915,      -12.05852038,      -1.142617939
          23,      -6.282999328,      -6.429049597,       -5.81309139,      -11.81046499,      -1.123084506
          24,      -6.304545968,      -6.426034094,      -5.842059052,      -11.59046655,      -1.110055269
          25,      -6.326868836,      -6.425309484,      -5.872736789,      -11.39612786,      -1.102778297
          26,      -6.349568499,      -6.426983018,      -5.904724427,       -11.2252041,      -1.100770523
          27,      -6.372209543,      -6.430238469,      -5.937510855,      -11.07563739,       -1.10318036
          28,      -6.394213407,      -6.434171126,      -5.970285742,      -10.94546443,       -1.10866455
          29,      -6.412638401,      -6.439513713,       -6.00048896,      -10.83285484,      -1.116408795
          30,      -6.425973968,       -6.43675491,      -6.024794346,      -10.73613458,      -1.125125437
          31,        -6.4318405,      -6.429817116,      -6.039489183,      -10.65378261,      -1.132979664
          32,      -6.423454932,      -6.417467848,       -6.03595337,       -10.5844326,      -1.139680797
          33,      -6.400887512,      -6.367950051,      -6.007845868,      -10.52678812,      -1.142857024
          34,      -6.371101867,      -6.353103635,       -5.98755422,      -10.47968015,      -1.139526407
          35,      -6.331019763,      -6.305199708,      -5.943916589,      -10.44207827,      -1.127040996
          36,      -6.298943938,      -6.288484953,      -5.933110372,      -10.41300517,      -1.113084391
          37,      -6.254923576,      -6.221276969,      -5.894796817,      -10.39154861,      -1.093834181
          38,      -6.214384026,      -6.171440682,      -5.854274231,      -10.37685708,      -1.070354728
          39,      -6.179294553,      -6.149848722,      -5.831603321,      -10.36811218,      -1.046945129
          40,       -6.15606682,      -6.127179042,       -5.80397074,      -10.36452362,      -1.026457486
          41,      -6.129808519,      -6.112271629,      -5.771556316,      -10.36532743,      -1.002411015
          42,      -6.105585858,      -6.100563276,      -5.738096867,      -10.36978967,     -0.9846321761
          43,      -6.078775821,      -6.098716541,      -5.706146859,      -10.37720314,      -0.968294652
          44,      -6.058781171,      -6.084690149,      -5.668422743,      -10.38691329,      -0.965515148
          45,      -6.035766487,      -6.072824698,      -5.629232463,      -10.39831277,     -0.9534091183
          46,      -6.007207613,      -6.059281703,      -5.582661675,      -10.41086821,     -0.9503338118
          47,      -5.973119897,      -6.050741165,      -5.528521952,       -10.4241261,       -0.96587092
          48,      -5.938577547,      -6.051186011,      -5.475211036,      -10.43771119,     -0.9704965511
          49,      -5.911819696,      -6.048789368,      -5.432224015,       -10.4513414,     -0.9827473097
          50,      -5.894336052,      -6.037271352,      -5.399563127,      -10.46480856,     -0.9953866513
          51,      -5.881010799,      -6.019246301,      -5.376121693,      -10.47797149,      -1.004974607
          52,      -5.869576995,      -5.998448524,      -5.355397318,      -10.49074302,      -1.020526768
          53,      -5.858568755,      -5.976349763,       -5.33527142,       -10.5030747,      -1.022712541
          54,      -5.850233351,      -5.956639139,      -5.318664667,      -10.51494247,      -1.033993813
          55,      -5.844263322,      -5.937140998,      -5.304887058,      -10.52633813,      -1.033783759
          56,      -5.840193769,      -5.919326213,      -5.293229466,      -10.53725876,      -1.033306623
          57,       -5.83605161,      -5.901965448,      -5.281417678,      -10.54770757,      -1.029536724
          58,      -5.833970698,      -5.889476902,      -5.274935805,       -10.5576877,      -1.025087354
          59,      -5.841448214,      -5.893324779,      -5.277815992,       -10.5672004,      -1.023936661
          60,      -5.838496319,      -5.880725226,      -5.266986926,      -10.57624781,      -1.011865683
          61,      -5.831260663,      -5.860700172,      -5.253269981,      -10.58483101,      -1.009257246
          62,      -5.840564893,      -5.864460008,      -5.261372984,      -10.59295243,     -0.9930741905
          63,      -5.839539017,      -5.857789553,      -5.253418398,      -10.60058353,     -0.9885147042
          64,      -5.841038386,        -5.8530964,      -5.251806927,      -10.60767879,     -0.9737146715
          65,      -5.842361578,      -5.849724644,      -5.251329591,      -10.61414787,     -0.9574589258
          66,       -5.84073217,      -5.849539756,      -5.249436047,      -10.61994496,     -0.9551577965
          67,       -5.84007534,      -5.852544253,      -5.251147422,      -10.62488988,     -0.9241674737
          68,      -5.829552202,      -5.849445288,      -5.244641192,      -10.62873443,     -0.9310183059
          69,       -5.81921385,      -5.850330552,      -5.241353449,      -10.63122659,     -0.9019329366
          70,      -5.807167897,      -5.845763085,       -5.23842222,      -10.63183454,     -0.8933307611
          71,      -5.789724681,      -5.837104808,      -5.222787863,      -10.62962436,      -0.902035211
          72,      -5.787762445,      -5.834476665,      -5.227488159,      -10.62403882,      -0.868199544
          73,      -5.769498472,      -5.827377965,      -5.215825634,      -10.61409392,     -0.8749386958
          74,      -5.748611164,      -5.818222889,      -5.201916904,      -10.59903897,     -0.8805672966
          75,      -5.748808412,      -5.805050672,      -5.206159651,      -10.57792576,     -0.8432676208
          76,      -5.743392919,      -5.799613078,      -5.194645333,       -10.5493926,      -0.857903138
          77,      -5.715226175,      -5.803050123,      -5.181327123,      -10.51377917,      -0.859032459
          78,      -5.667247087,      -5.775913163,      -5.160090137,      -10.47153693,     -0.8080157332
          79,      -5.649275519,      -5.747177785,      -5.144170661,      -10.42225661,      -0.831184294
          80,      -5.671456577,      -5.745307356,      -5.150087523,      -10.36779152,     -0.8209853226
          81,      -5.672378981,      -5.753108566,       -5.14581633,      -10.30944798,     -0.8189707162
          82,      -5.624659681,      -5.749475048,       -5.12834057,      -10.24511742,     -0.7503013577
          83,      -5.599427933,      -5.711236048,       -5.11810629,      -10.17671201,     -0.7982082276
          84,       -5.61520705,      -5.700921038,      -5.114298197,      -10.10554798,     -0.7535829255
          85,      -5.637394862,      -5.711485683,       -5.11850712,      -10.03352161,     -0.7485657981
          86,      -5.560246536,      -5.713505869,      -5.099410192,      -9.963544411,     -0.6769130434
          87,       -5.53206085,      -5.667104923,      -5.078995116,      -9.898671605,     -0.6985786162
          88,      -5.509903143,        -5.6508912,      -5.056450928,      -9.833857039,     -0.6639613742
          89,      -5.545737806,      -5.637524665,      -5.075996684,      -9.766878447,     -0.6309563717
          90,      -5.555877015,       -5.64336235,      -5.094460362,      -9.703266133,     -0.5875297328
          91,      -5.482298224,       -5.61975907,      -5.039877849,      -9.651289495,     -0.6088473955
          92,      -5.468916215,      -5.610059291,      -5.022015745,      -9.577886353,     -0.5641788543
          93,      -5.495741913,      -5.604418083,      -5.038319697,      -9.515916994,     -0.4966809534
          94,      -5.526685301,      -5.603658138,      -5.059459758,      -9.480268867,     -0.4798068068
          95,      -5.441681618,      -5.607477129,       -5.01179922,      -9.423243877,     -0.5223019261
          96,      -5.457714593,      -5.608315638,      -5.045505892,      -9.349113777,     -0.4601894477
          97,      -5.449712957,      -5.587485086,       -5.05059371,       -9.28132427,     -0.3807677174
          98,       -5.47790707,      -5.594439452,      -5.062319088,      -9.220199191,     -0.3844151642
          99,      -5.474175072,      -5.614905499,      -5.069416615,      -9.155222565,     -0.4252662721
         100,      -5.434926745,      -5.596052654,      -5.059719238,      -9.088385723,     -0.3040437927
         101,      -5.429901025,      -5.576611953,      -5.056016221,      -9.016774829,     -0.3438113303
         102,       -5.45995449,      -5.591198499,      -5.074533732,       -8.95189965,     -0.3678775957
         103,      -5.474167895,      -5.605631224,      -5.101932593,      -8.894182093,      -0.321197837
         104,      -5.437730607,      -5.605796596,      -5.092005194,      -8.833883337,     -0.3285557408
         105,      -5.413226107,      -5.571450583,      -5.067397893,      -8.770853096,     -0.3343915316
         106,      -5.435876664,      -5.569546466,      -5.090190908,      -8.713610475,      -0.298567796
         107,      -5.461517115,      -5.577170121,      -5.126206641,      -8.654534291,     -0.3346639305
         108,      -5.467690709,      -5.583224504,      -5.146256242,      -8.595472239,     -0.2972039468
         109,      -5.463239072,      -5.584546452,      -5.149867984,      -8.540962985,     -0.3078369221
         110,      -5.462972792,      -5.580025778,      -5.160888612,      -8.481474444,     -0.2907354562
         111,      -5.466740296,      -5.578160943,      -5.176867463,      -8.410239223,     -0.2912172803
         112,      -5.474254289,      -5.583271849,      -5.193343637,      -8.336523568,     -0.3128506366
         113,      -5.481865786,      -5.582158851,      -5.209541761,      -8.262564883,     -0.2600756016
         114,      -5.478502758,      -5.574737012,      -5.212420102,      -8.188285147,     -0.3351371763
         115,      -5.464590796,      -5.563872258,      -5.198170613,      -8.110249912,     -0.3228100676
         116,      -5.447870487,      -5.550753928,      -5.175617172,      -8.035496635,     -0.3004620534
         117,      -5.428397675,      -5.534112853,      -5.147782226,      -7.967203252,     -0.3998585371
         118,      -5.406601967,      -5.513282418,      -5.113276428,      -7.909679971,     -0.4097174026
         119,      -5.370695924,      -5.483166856,      -5.059560976,      -7.858140527,     -0.4150886729
         120,      -5.339003816,      -5.446926817,      -5.015086733,      -7.816050674,     -0.4705569941
         121,      -5.317435279,      -5.411481065,      -4.987422784,      -7.776035868,     -0.5313920026
         122,      -5.269710213,      -5.380027668,      -4.920533401,      -7.737645117,     -0.5422793649
         123,      -5.254553844,      -5.330133884,      -4.886623635,      -7.647860353,     -0.5821378084
         124,      -5.219154604,      -5.190762867,      -4.834547167,      -7.550782373,     -0.6137632902
         125,       -5.10219829,      -5.047984323,      -4.666805942,       -7.32473186,     -0.5668970196
         126,      -5.118587599,      -4.964183408,      -4.530039308,      -7.162255087,     -0.5134633917
         127,      -5.146803674,       -4.97039929,      -4.580153952,      -7.133644959,     -0.3300564192
         128,      -5.112105034,      -4.982086966,      -4.500288059,      -7.188166701,     -0.3054799109
         129,      -5.242935897,      -2.358970911,      -1.757373643,      -4.274847391,        1.98117815
         130,      -5.294509746,       -5.13903119,      -4.761754704,      -7.446451335,     -0.4377748508
         131,      -5.387861014,      -5.274477917,       -4.90886641,      -7.570779727,      -0.458399292
         132,      -5.456339608,      -5.355658929,      -5.020141152,      -7.647328706,     -0.6579185455
         133,      -5.523617504,      -5.422041217,      -5.113584638,      -7.646292023,     -0.8261273473
         134,      -5.535864871,       -5.48389585,       -5.15678556,      -7.675513712,      -0.893684556
         135,      -5.496382865,      -5.546551927,      -5.151374656,      -7.710420444,     -0.8949092892
         136,      -5.533880304,      -5.604892127,      -5.196119263,       -7.74851712,     -0.8938828039
         137,      -5.616705099,      -5.672117731,      -5.275350254,      -7.787469747,     -0.9087604879
         138,      -5.682602741,      -5.739565576,      -5.333648465,      -7.826901398,      -0.944160195
         139,      -5.724141198,       -5.79288616,      -5.373841457,      -7.865153305,     -0.9944756878
         140,      -5.746654117,      -5.839811598,        -5.4022118,      -7.902199651,      -1.047851506
         141,      -5.762846141,      -5.884694302,      -5.427869289,       -7.94450526,      -1.069324547
         142,      -5.774302199,      -5.925118906,      -5.454402908,      -7.990725278,      -1.042485089
         143,      -5.785769397,      -5.954812926,      -5.482603605,      -8.033758053,     -0.9789986283
         144,       -5.80060861,      -5.973525156,       -5.51298554,      -8.066218811,     -0.9039750229
         145,      -5.818267659,      -5.983640132,      -5.545741157,      -8.067754889,     -0.8324383749
         146,      -5.838676274,      -5.988423186,      -5.581555811,      -8.041139475,     -0.7717264385
         147,      -5.860761618,      -5.987613744,      -5.617228524,      -7.973930307,     -0.7267416676
         148,      -5.881711459,       -5.98649239,      -5.649362695,      -7.877603438,     -0.7009417641
         149,        -5.9003036,      -5.985548849,      -5.675213772,      -7.805420204,     -0.6949961188
         150,      -5.913712807,      -5.982058873,      -5.685569003,      -7.799568478,     -0.7113907897
         151,      -5.921163228,        -5.9834193,       -5.68237027,      -7.794817605,     -0.7424934782
         152,      -5.920446021,      -5.990541875,      -5.662479502,      -7.799421624,     -0.7783200898
