"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
           0,      -4.227020979,      -4.440208682,      -3.716830458,      -14.16300921,        -7.2837961
           1,      -4.229530681,      -4.443318187,      -3.719683568,        -14.279045,      -4.370889211
           2,      -4.899297933,      -4.844715141,      -4.395268568,      -14.58974756,      -4.052159618
           3,      -5.005394707,      -5.007719531,      -4.563024417,       -12.7026911,      -4.013794226
           4,      -5.099238029,      -5.140139979,      -4.615564532,      -11.06186515,      -3.919187101
           5,      -5.212116416,      -5.222483796,      -4.648718391,      -10.35685919,      -3.462935355
           6,      -5.282137486,      -5.288372933,      -4.738398763,         -10.02911,      -3.146835233
           7,      -5.312434838,       -5.34447532,      -4.783700671,      -9.856382405,      -2.976865401
           8,      -5.394969975,      -5.455879929,      -4.880981451,      -9.698762747,      -2.819617041
           9,      -5.428179962,      -5.509517874,      -4.918762889,      -9.701141036,      -2.821514813
          10,      -5.486831906,      -5.568320553,      -4.973826562,      -9.657872865,      -2.777703465
          11,      -5.551727834,      -5.646117771,      -5.042264943,      -9.727239935,      -2.844831803
          12,      -5.610245542,      -5.701527173,      -5.105553949,       -9.73799559,      -2.854297485
          13,      -5.561056517,      -5.604297483,      -5.030456357,       -9.77539568,      -2.888483509
          14,      -5.630643175,       -5.69193792,      -5.095997651,      -9.792488566,      -2.903535127
          15,      -5.667228849,      -5.696942098,      -5.112774739,      -9.842871996,      -2.947798839
          16,      -5.788941034,       -5.75047582,      -5.217190306,      -9.859960462,      -2.959335165
          17,      -5.877315148,      -5.792330108,      -5.287479392,      -9.912687271,      -2.992082714
          18,      -5.983270086,      -5.839987612,       -5.38324861,      -9.927826448,      -2.974946029
          19,      -6.104842423,      -5.900372547,      -5.497026372,       -9.97503373,      -2.884863398
          20,      -6.214215482,      -5.948875829,      -5.609137316,      -9.993242489,       -2.78364325
          21,      -6.311678926,      -5.984471851,       -5.70927901,      -10.03785385,      -2.734616116
          22,      -6.362595524,        -6.0053041,      -5.775296017,      -10.05325933,      -2.682053779
          23,      -6.373110459,      -6.014329951,      -5.795815158,      -10.10017935,      -2.606244538
