"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
           0,      -4.960718685,       -5.07988556,       -4.45131805,      -15.21548817,      -8.982259091
           1,      -4.963155457,      -5.082781354,      -4.453957547,      -15.51496965,       1.676234172
           2,      -5.601344927,       -5.59611402,      -5.094272488,        -14.823206,      0.9457888918
           3,       -5.73567424,      -5.853598291,      -5.270558964,       -14.9005464,      0.4654327095
           4,      -5.864311714,      -5.975858138,      -5.364722871,      -14.93592378,     0.04976483685
           5,      -5.951554145,      -6.033917318,      -5.431223724,      -14.95103402,     -0.2338538231
           6,      -6.006398741,      -6.118169354,       -5.48685863,      -14.95993057,     -0.5288255266
           7,      -6.039723971,      -6.194805945,      -5.524603428,      -14.96535043,     -0.7043052461
           8,      -6.065096013,       -6.24780354,      -5.552046308,      -14.97014405,     -0.8001810416
           9,       -6.08293747,      -6.285981713,      -5.571322733,      -14.97337848,      -0.870626416
          10,       -6.09865917,      -6.319854706,      -5.588113016,      -14.97533984,     -0.9378248337
          11,      -6.113992497,      -6.350710458,      -5.603980464,      -14.97628287,      -0.986332942
          12,      -6.122914463,      -6.377151802,      -5.615497779,      -14.97677789,      -1.013332252
          13,      -6.135049095,       -6.39928474,       -5.62850231,      -14.97603494,      -1.025649599
          14,      -6.142202402,      -6.417999173,      -5.638600032,        -14.958903,      -1.030953243
          15,      -6.151879186,      -6.432237931,      -5.650320897,      -14.77553749,      -1.024495195
          16,       -6.16251357,      -6.441407428,      -5.663197952,      -14.31875806,     -0.9980218956
          17,       -6.17075111,      -6.445992425,      -5.675424719,      -13.83538477,     -0.9630793485
          18,      -6.179850342,      -6.446076156,      -5.688873592,      -13.39735498,     -0.9253669634
          19,      -6.186596863,      -6.440624269,      -5.701633007,      -13.00536839,     -0.8848571996
          20,      -6.186445868,      -6.429210878,      -5.710436384,       -12.6549012,     -0.8468108829
          21,      -6.200111512,      -6.418231534,      -5.728634979,      -12.34181139,     -0.8171939868
          22,      -6.177833544,      -6.394429887,      -5.722240238,       -12.0625989,      -0.792881747
          23,      -6.161451919,      -6.375583095,      -5.716104082,      -11.81422725,     -0.7732823126
          24,      -6.136693184,      -6.349178816,        -5.7015112,      -11.59397289,     -0.7593532554
          25,      -6.092229919,      -6.315691981,      -5.666690078,      -11.39936571,     -0.7527470273
          26,      -6.039434886,      -6.286140726,      -5.620204136,      -11.22816335,     -0.7505110829
          27,      -6.134846795,      -6.294193135,      -5.701009976,      -11.07826235,     -0.7526747323
          28,      -6.149604427,      -6.278471351,      -5.716213677,      -10.94775341,     -0.7635430762
          29,      -6.162003412,      -6.297244137,      -5.731406983,      -10.83479142,     -0.7749885054
          30,      -6.195034528,      -6.311989969,       -5.76210887,      -10.73773279,     -0.7832362095
          31,      -6.200703659,      -6.305465371,      -5.766007663,       -10.6550308,     -0.7885419372
          32,      -6.195424116,      -6.294768283,       -5.76075124,      -10.58524299,     -0.7918525621
          33,      -6.185890069,      -6.286443428,      -5.748539269,      -10.52714962,     -0.7892198021
          34,      -6.179782761,       -6.27856912,      -5.739915902,      -10.47958424,     -0.7845612375
          35,      -6.168230179,      -6.269982804,      -5.724080508,      -10.44144699,     -0.7726856997
          36,      -6.158401392,      -6.263236729,       -5.71065292,      -10.41173193,     -0.7535012399
          37,      -6.146160801,      -6.256042484,      -5.693753273,      -10.38955182,     -0.7325405936
          38,      -6.133370208,      -6.248148618,      -5.676072291,      -10.37401908,     -0.7016592056
          39,      -6.120496625,      -6.241199612,      -5.657906727,      -10.36429311,     -0.6742634412
          40,      -6.104440355,      -6.230404519,      -5.635783644,      -10.35958555,     -0.6429158329
          41,      -6.092483359,      -6.222928838,      -5.618598563,      -10.35913263,     -0.6198326762
