"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          72,      -6.336889829,      -5.701133225,      -5.868201669,      -7.449538469,      -2.403071513
          73,      -6.422694205,      -5.750398091,      -5.938611632,      -7.428083313,      -2.408179056
          74,      -6.385056773,      -5.730279115,      -5.914842087,       -7.41072199,      -2.418529635
          75,      -6.393693572,      -5.770549143,      -5.934472103,      -7.391901767,       -2.38695178
          76,      -6.410898221,      -5.758814687,      -5.942617821,      -7.357049406,      -2.411603736
          77,      -6.442221465,      -5.799244024,      -5.980341292,      -7.343720414,      -2.395537984
          78,      -6.387464071,      -5.780373904,      -5.940533521,      -7.311108071,       -2.41019914
          79,       -6.46248516,      -5.827509248,      -6.002017308,      -7.285345862,      -2.413413129
          80,      -6.426856561,      -5.806809396,      -5.980263653,      -7.256789914,      -2.415869491
          81,      -6.434384669,      -5.845804085,      -5.992750713,      -7.227490027,      -2.389415295
          82,      -6.450434799,      -5.831188828,      -6.004490099,      -7.192132457,      -2.369065515
          83,      -6.478274164,      -5.868669478,       -6.03409717,      -7.165337964,      -2.367125917
          84,      -6.433865597,       -5.84540539,      -5.999622352,      -7.114633532,      -2.349095265
          85,      -6.500011153,      -5.888153899,      -6.052424349,      -7.089170694,      -2.328404719
          86,      -6.473151137,      -5.860552137,      -6.034306509,      -7.029922051,      -2.291901509
          87,      -6.481765185,      -5.892556215,      -6.038648155,      -7.003808108,      -2.288870212
          88,      -6.496570101,      -5.869683555,      -6.049417808,      -6.940012313,      -2.261367578
          89,      -6.519800169,      -5.897138904,      -6.064429262,      -6.908903738,      -2.241006831
          90,      -6.485549313,       -5.86220657,      -6.032298438,      -6.848168128,      -2.188225944
          91,      -6.534414946,      -5.893582132,      -6.062964203,      -6.811058859,      -2.155705433
          92,       -6.51118664,      -5.852703041,      -6.039764943,       -6.74815162,      -2.101660148
          93,      -6.512067784,      -5.869987869,      -6.023598605,      -6.714736839,      -2.071950375
          94,      -6.516222908,      -5.837130482,      -6.023003045,       -6.64872262,      -2.037433527
          95,      -6.518454673,      -5.851184758,      -6.005995059,      -6.637182053,      -2.036358308
          96,      -6.492428568,      -5.807682107,      -5.975040435,      -6.624022633,      -2.031925043
          97,      -6.509076956,      -5.831613069,      -5.977609531,      -6.622851018,      -2.034620779
          98,      -6.492510192,      -5.785907115,      -5.958623388,      -6.604917923,      -2.036926893
          99,      -6.481944784,      -5.797299068,      -5.933961235,      -6.606099648,      -2.063390329
         100,      -6.482804292,       -5.76431911,      -5.936527475,       -6.59648613,       -2.08560488
         101,      -6.481025221,      -5.776137805,        -5.9250045,      -6.593400638,      -2.094056779
         102,      -6.440300747,      -5.725473499,      -5.875008057,      -6.593519152,      -2.102865657
         103,      -6.515011979,      -5.769770817,      -5.952855594,      -6.586440791,      -2.118112493
         104,      -6.415856985,       -5.70498691,      -5.845089331,      -6.587959245,       -2.12513092
         105,      -6.471222295,      -5.732876581,      -5.893459197,      -6.577097004,      -2.129257561
         106,      -6.402636633,      -5.683192514,      -5.826508225,      -6.582148359,      -2.149437372
         107,      -6.464924577,      -5.714843718,      -5.887880063,      -6.586047258,      -2.197976645
         108,      -6.366875594,      -5.650794765,      -5.780483653,      -6.596214636,      -2.226392967
         109,      -6.458827182,      -5.699258588,      -5.880555619,      -6.595326794,      -2.258522473
         110,      -6.370139544,      -5.635457818,       -5.78539671,      -6.605044896,      -2.271441682
         111,      -6.416873874,       -5.66731565,      -5.829842349,      -6.597175365,      -2.287214554
         112,        -6.3607205,      -5.619985862,       -5.77653517,      -6.604955304,       -2.29308955
         113,      -6.419829404,      -5.654944558,      -5.838742647,      -6.597744823,      -2.302198284
         114,       -6.32602886,      -5.592360362,      -5.735474155,      -6.602422842,       -2.30246041
         115,      -6.413047908,      -5.644128534,       -5.83551181,      -6.595043532,       -2.31220331
         116,      -6.331898534,      -5.582412501,      -5.747573459,      -6.604565505,      -2.311015884
         117,      -6.367453758,      -5.617312271,      -5.784666167,      -6.595317392,      -2.323289692
         118,      -6.322535809,       -5.57299088,      -5.743179809,      -6.605567173,      -2.324843854
         119,      -6.374915113,      -5.611737541,      -5.802866593,      -6.604576648,       -2.33750442
         120,      -6.284306351,      -5.550892562,      -5.701902231,      -6.609764319,      -2.330108881
         121,      -6.367450019,      -5.607820047,      -5.803983803,      -6.608976634,      -2.350387621
         122,      -6.292658902,      -5.547367514,      -5.721737453,      -6.621913945,      -2.345124432
         123,       -6.31348916,      -5.586176924,      -5.747909173,      -6.614503672,      -2.360109962
         124,      -6.280445519,      -5.543942985,      -5.719430644,      -6.624367034,      -2.360961112
         125,      -6.319595621,      -5.586710573,      -5.770615041,      -6.623690728,      -2.376782954
         126,      -6.228507019,      -5.525354063,       -5.66784513,      -6.627849911,      -2.371104303
         127,      -6.307539598,      -5.588728843,      -5.771149832,      -6.624418808,      -2.396356523
         128,      -6.234350199,      -5.527145372,      -5.690053535,      -6.631124314,      -2.395360008
         129,      -6.227428341,      -5.556463216,      -5.686402468,      -6.633282496,      -2.395235194
         130,      -6.223487336,      -5.531772506,       -5.69315293,      -6.638082385,      -2.404945398
         131,       -6.24129514,      -5.567254834,       -5.72040793,      -6.648513825,      -2.409135604
         132,       -6.17143418,      -5.519652935,      -5.638697067,      -6.648181086,      -2.410286943
         133,      -6.232264479,      -5.577886989,        -5.7220497,      -6.657900774,      -2.425149334
         134,      -6.186629757,      -5.530504541,      -5.670471554,        -6.6657472,      -2.429122359
         135,       -6.17747774,      -5.562288588,      -5.659222084,      -6.670561973,      -2.431748178
         136,      -6.182960796,       -5.54043803,      -5.675981838,      -6.677350505,      -2.447524246
         137,      -6.202119454,      -5.577708741,      -5.701494888,      -6.691021048,      -2.454587582
         138,      -6.142872773,      -5.528179302,      -5.625164061,      -6.693762449,      -2.455058179
         139,      -6.204891141,      -5.591576089,      -5.712348509,      -6.707016739,       -2.47590166
         140,      -6.170869985,      -5.543498488,      -5.669528933,      -6.718325411,      -2.480894119
         141,      -6.164975431,      -5.576683076,      -5.658028291,      -6.726195998,      -2.481700461
         142,      -6.178566299,      -5.556626066,      -5.685249854,      -6.735738056,      -2.501008588
         143,      -6.202937793,      -5.596829585,      -5.715490758,      -6.751234022,      -2.507944544
         144,      -6.154860539,      -5.546643872,      -5.647241981,      -6.756259677,      -2.501324916
         145,      -6.218756181,      -5.614253408,      -5.739580936,      -6.770744396,      -2.527305117
         146,      -6.198193454,      -5.565821703,      -5.708563284,      -6.783816571,      -2.527960516
         147,      -6.197637473,       -5.60059464,       -5.70318265,      -6.793488813,      -2.522372051
