"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          72,      -6.965060909,      -6.321201725,      -6.426042775,      -8.986729659,      -2.847392141
          73,      -7.127614137,      -6.543438295,      -6.648944344,      -8.959231272,      -2.842524899
          74,      -7.131651967,      -6.485796359,      -6.617834855,      -8.928535913,      -2.847379047
          75,      -7.074650638,      -6.370782058,      -6.518224369,      -8.918579797,      -2.831671249
          76,      -7.071513741,      -6.439309599,      -6.537498632,      -8.909918442,       -2.83524711
          77,      -7.187274976,      -6.509444317,      -6.651355225,      -8.893840769,      -2.871306288
          78,      -7.175424427,      -6.406270624,       -6.59099713,      -8.880739981,      -2.861873736
          79,      -7.196293898,      -6.501604852,      -6.646277602,      -8.852948385,      -2.853960278
          80,      -7.120142812,        -6.4284618,      -6.547534076,      -8.827105396,      -2.886744927
          81,      -7.204203676,      -6.425940629,      -6.600189015,      -8.821864323,       -2.88344878
          82,      -7.310227225,      -6.546280305,      -6.731856491,      -8.812427016,      -2.882331383
          83,      -7.242423378,      -6.481655511,      -6.641677565,      -8.791801144,      -2.899689204
          84,      -7.146587704,      -6.374469346,        -6.5266191,      -8.780973376,       -2.89187335
          85,      -7.354867577,      -6.577612624,      -6.754953912,      -8.762204045,      -2.884746962
          86,       -7.36341075,      -6.522175898,      -6.722862292,      -8.740518971,      -2.886128514
          87,      -7.261954388,      -6.418558322,      -6.603540882,      -8.734336434,       -2.86789864
          88,       -7.27660905,       -6.50428801,      -6.657014973,      -8.725054516,      -2.845961076
          89,       -7.42391749,      -6.551614794,      -6.758915492,      -8.706130737,      -2.837313704
          90,      -7.369234609,      -6.453358972,      -6.666293757,      -8.697414862,      -2.826787191
          91,       -7.41146291,      -6.554136129,      -6.751646997,      -8.678281576,      -2.818110378
          92,      -7.330181381,      -6.495072849,      -6.670816894,      -8.668312814,      -2.845729294
          93,      -7.398268656,       -6.47599701,      -6.685138345,       -8.66458834,      -2.845862939
          94,       -7.53374911,      -6.593836413,      -6.832055772,      -8.655789468,      -2.850933141
          95,      -7.447943971,       -6.53494312,      -6.746089101,      -8.633871409,      -2.879768187
          96,      -7.311531727,       -6.44026842,      -6.623367585,      -8.627568303,      -2.879473376
          97,      -7.563053702,      -6.625047135,      -6.865558597,      -8.620239811,      -2.882387594
          98,      -7.542605631,      -6.568940488,       -6.80798917,       -8.61218785,      -2.905629225
          99,      -7.400132046,      -6.472365436,       -6.67771709,      -8.606184486,      -2.897375521
         100,      -7.405796539,      -6.568233312,      -6.756578969,      -8.598089563,      -2.895452131
         101,      -7.542895483,      -6.595739627,      -6.831818959,       -8.58183137,      -2.894914911
         102,      -7.457513438,      -6.500925219,      -6.719340243,      -8.581211653,       -2.88465538
         103,      -7.475051174,      -6.587829736,        -6.8012902,      -8.579517735,      -2.868310104
         104,      -7.358212891,      -6.536054577,      -6.714133327,       -8.57707531,      -2.857782957
         105,      -7.423035748,      -6.519117668,      -6.723475724,      -8.574133703,      -2.852205457
         106,      -7.515540682,       -6.62014349,      -6.848660343,      -8.570239512,      -2.844937142
         107,      -7.424482055,      -6.564194961,       -6.76266477,      -8.566158302,      -2.837710666
         108,      -7.282877346,      -6.491970985,      -6.647599049,      -8.562259578,      -2.838441731
         109,      -7.461605606,      -6.647759446,      -6.848309417,      -8.557101703,      -2.833984164
         110,      -7.454051184,      -6.593034142,      -6.799166853,      -8.555205976,      -2.826771659
         111,      -7.334896327,      -6.515012128,      -6.685168618,      -8.555457193,      -2.822978087
         112,      -7.310041818,      -6.604457589,      -6.738325081,      -8.555869204,      -2.821519138
         113,      -7.409704837,      -6.615421507,      -6.797679194,      -8.554867356,      -2.814955866
         114,      -7.369316704,      -6.549419332,        -6.7244329,      -8.550534701,      -2.811827001
         115,      -7.373507162,      -6.653853709,      -6.804599852,      -8.537363078,      -2.825255891
         116,      -7.284076818,      -6.586685562,      -6.713836669,      -8.539273043,      -2.821813466
         117,      -7.349427891,      -6.573094079,      -6.735931076,      -8.541048634,      -2.833973017
         118,      -7.414827109,      -6.681854343,      -6.854719955,      -8.532290346,      -2.869163253
         119,      -7.350961541,      -6.611093977,      -6.769183089,      -8.528918027,      -2.861925604
         120,      -7.241750243,      -6.558103536,      -6.673070063,      -8.529855767,      -2.871501371
         121,       -7.40630197,       -6.70920365,      -6.875942287,      -8.525768616,       -2.87497213
         122,      -7.401008425,      -6.638826301,      -6.819547901,      -8.525239168,      -2.864096798
         123,      -7.304837422,      -6.582019651,      -6.725109899,      -8.521197247,       -2.86342033
         124,      -7.291105136,       -6.68149767,      -6.782401784,      -8.519898579,       -2.87860168
         125,      -7.386900266,      -6.662370187,      -6.833822995,      -8.520509899,      -2.873228236
         126,      -7.353997252,      -6.608477844,      -6.772987631,      -8.517497933,      -2.876120679
         127,      -7.361876183,      -6.703739294,      -6.849872463,      -8.512368205,      -2.879921827
         128,         -7.294239,      -6.646726629,      -6.769913151,      -8.515678676,      -2.872625762
         129,      -7.358355363,      -6.633394444,      -6.796659572,      -8.513946258,      -2.861625937
         130,      -7.421171847,      -6.727266732,      -6.910606071,       -8.50613096,      -2.849332348
         131,      -7.372268074,      -6.667754832,       -6.83418495,      -8.508734421,      -2.839165849
         132,      -7.278570712,      -6.626500939,      -6.745550118,      -8.509770405,      -2.842901502
         133,      -7.438187458,      -6.748505904,      -6.941057208,      -8.499636132,      -2.857542604
         134,      -7.436838585,       -6.68910351,      -6.888597588,      -8.502731278,      -2.854898086
         135,      -7.354048179,      -6.645133255,      -6.805116086,      -8.503877782,      -2.859294907
         136,       -7.35411329,      -6.729957783,      -6.866097438,      -8.494537473,      -2.880252891
         137,      -7.447641306,      -6.705710959,       -6.90879909,      -8.496809888,      -2.875364774
         138,      -7.420852722,      -6.662854448,      -6.856897768,       -8.49834968,       -2.87858267
         139,      -7.441106026,      -6.742731422,      -6.939962276,      -8.487659217,      -2.885108956
         140,       -7.38407164,      -6.691745073,      -6.862956424,       -8.48999521,      -2.878958553
         141,      -7.450070734,      -6.677933573,      -6.885182131,      -8.492383107,      -2.868519195
         142,      -7.521879236,      -6.755478633,      -7.002639507,      -8.481975815,      -2.850260364
         143,      -7.477458863,      -6.703251823,      -6.924797762,      -8.483397504,      -2.838115251
         144,      -7.393731611,      -6.666677308,      -6.847354801,       -8.48671652,      -2.841680342
         145,      -7.565656277,      -6.768088532,      -7.040034043,      -8.476161845,      -2.865365354
         146,      -7.557781663,      -6.715491111,      -6.971084764,      -8.479737187,      -2.867680042
         147,      -7.481150667,      -6.677268847,      -6.899097829,      -8.480700473,      -2.873582947
         148,      -7.496711267,      -6.750772129,      -6.982487346,      -8.471976182,      -2.893189754
         149,      -7.586654935,      -6.726146587,      -6.992330871,      -8.475699105,      -2.890157456
         150,      -7.555338646,      -6.688413651,      -6.937900754,      -8.476354346,      -2.888923469
         151,      -7.592490433,      -6.759434812,      -7.039973176,      -8.467015063,      -2.881040623
         152,      -7.522697774,       -6.71309342,      -6.954010308,      -8.470874723,      -2.872395808
         153,      -7.588745974,      -6.699673264,      -6.960071625,      -8.470496926,      -2.854013747
         154,      -7.672838235,      -6.769036879,      -7.079051234,      -8.463076378,      -2.856880417
         155,      -7.612277633,      -6.722097548,      -6.994071447,      -8.464430713,      -2.855279037
         156,      -7.519078067,      -6.689949877,      -6.925469476,      -8.464224736,      -2.862639541
         157,      -7.709261466,      -6.780527765,      -7.104044288,       -8.45670721,       -2.87798774
         158,      -7.679917735,      -6.732772368,      -7.021136669,      -8.457969407,      -2.873870417
         159,      -7.595366738,      -6.699617102,      -6.959429244,      -8.455798939,      -2.872473199
         160,      -7.611581487,      -6.768786332,       -7.05243188,      -8.447912379,      -2.865025813
         161,      -7.691904454,      -6.743625535,       -7.03572985,      -8.448481391,      -2.856364215
         162,      -7.649499394,      -6.710278123,      -6.983491132,      -8.446408976,      -2.846702779
         163,      -7.688777035,      -6.776787634,      -7.087008626,      -8.434891271,      -2.858711946
         164,       -7.59861365,      -6.735700533,      -7.000396014,      -8.435020989,      -2.859974529
         165,      -7.658342899,      -6.722053585,      -6.998122886,      -8.433555409,      -2.863444413
         166,      -7.737203424,      -6.786586572,      -7.106977667,       -8.41797712,      -2.868412868
         167,      -7.665416435,      -6.744249562,      -7.026007739,      -8.417521592,      -2.863454649
         168,      -7.561132662,      -6.717280375,      -6.962816039,      -8.411910683,      -2.855998845
         169,      -7.736833653,      -6.798728548,       -7.11982581,      -8.393467282,       -2.85403415
         170,      -7.702690751,      -6.754455563,      -7.041111429,       -8.39052834,      -2.850401188
         171,      -7.614745906,      -6.725836405,      -6.986254501,      -8.380754434,      -2.851584103
         172,      -7.613687919,      -6.791909143,       -7.06613463,      -8.356898389,      -2.858095441
         173,      -7.686555725,      -6.765648367,      -7.047373005,      -8.351767128,      -2.855859495
         174,      -7.644105893,       -6.73558629,      -7.001442147,      -8.339556661,      -2.853194547
         175,      -7.665555816,      -6.797792702,      -7.089091739,      -8.307884139,       -2.84965242
         176,      -7.582458134,       -6.75964299,      -7.008964452,      -8.302496328,      -2.849780265
         177,      -7.632940252,      -6.745921168,      -7.007350387,      -8.286646061,      -2.849469705
         178,      -7.692753604,      -6.805223208,      -7.099892357,      -8.251577958,      -2.849868379
         179,      -7.631211633,      -6.764394566,      -7.026033825,      -8.244273883,      -2.847920423
         180,      -7.534540924,      -6.739050445,      -6.966727745,      -8.229431758,      -2.842979933
         181,      -7.681970437,      -6.813925297,      -7.102745843,      -8.193958305,      -2.842169161
         182,      -7.654117183,      -6.769373321,      -7.031411168,       -8.18803782,      -2.839902933
         183,       -7.57764579,      -6.739974039,       -6.98233581,      -8.173366507,       -2.84019991
         184,      -7.571395648,      -6.800320408,      -7.045785386,      -8.141396687,      -2.842727072
         185,      -7.634035903,       -6.77286457,       -7.02700021,      -8.137582333,      -2.840687949
         186,      -7.598263087,      -6.739774628,      -6.986250322,      -8.122546626,      -2.841249216
         187,      -7.620990627,      -6.790293237,       -7.04671694,      -8.116910337,      -2.839220138
         188,      -7.546972992,      -6.764054086,      -6.994398348,      -8.114553473,      -2.839894409
         189,      -7.587328826,      -6.749205705,      -6.987042162,      -8.103226633,      -2.843853346
         190,      -7.644651038,      -6.808787425,      -7.070620638,      -8.073012984,      -2.839715515
         191,      -7.582744525,      -6.757554761,      -6.992705437,      -8.070669219,      -2.837250355
         192,      -7.496560725,      -6.720914422,      -6.934389816,      -8.059206788,      -2.844348913
         193,       -7.63145379,      -6.798983364,      -7.047274929,      -8.055407881,       -2.84438195
         194,      -7.609110755,      -6.761714591,      -7.001395555,      -8.053345629,      -2.840026974
         195,      -7.531320467,      -6.720190271,      -6.942245488,      -8.040018254,       -2.83940042
         196,      -7.539756957,      -6.775707744,      -6.997867512,       -8.03766321,       -2.83859408
         197,      -7.598434475,      -6.767085142,      -6.999986729,      -8.035872238,      -2.835314949
         198,      -7.550047307,      -6.719766001,      -6.943841403,      -8.022960769,      -2.832875385
         199,      -7.583365143,        -6.7767417,      -7.008239491,      -8.018975196,      -2.832024493
         200,      -7.513278637,      -6.736858048,      -6.952415655,      -8.017433455,      -2.833155259
         201,      -7.533115098,      -6.709526398,      -6.928586488,      -8.013958272,      -2.829964856
         202,       -7.61091329,       -6.78370071,      -7.017602403,       -8.01010892,      -2.828425184
         203,      -7.552933323,      -6.738996088,       -6.96182381,      -8.006501613,      -2.825487713
         204,      -7.458098933,      -6.679777367,      -6.884371836,      -8.004656586,      -2.826648556
         205,      -7.608731523,      -6.792661939,      -7.022507082,       -8.00090038,      -2.825261716
         206,      -7.576871374,      -6.743575375,      -6.967142487,      -7.997744599,      -2.823191391
         207,      -7.488758959,      -6.677725585,      -6.889368502,      -7.994279485,      -2.823307733
         208,      -7.521804438,      -6.751484079,      -6.966924856,      -7.992338589,      -2.824681205
         209,      -7.573711036,      -6.746803845,      -6.968154861,      -7.991028618,      -2.821914232
         210,      -7.513517957,      -6.685871252,      -6.901461385,      -7.979526505,      -2.824876061
         211,      -7.561702427,      -6.751162173,      -6.973555272,      -7.976465532,      -2.824539141
         212,      -7.492335071,      -6.700863761,      -6.913940015,      -7.977835345,      -2.825334922
         213,      -7.509340991,      -6.680404744,      -6.895885303,      -7.967000002,      -2.829339779
         214,      -7.588745626,      -6.753158057,      -6.978942984,      -7.965059384,      -2.831068608
         215,      -7.523595341,      -6.697410369,      -6.916200373,      -7.963571714,      -2.830931953
         216,      -7.429509685,      -6.627993459,      -6.836400707,      -7.963118014,      -2.832882755
         217,      -7.592266864,      -6.759130552,      -6.986068719,      -7.961217851,      -2.835320449
         218,      -7.546774391,      -6.702650746,      -6.923928391,      -7.960432598,      -2.836742888
         219,      -7.451876179,      -6.627127057,      -6.839308197,      -7.958872907,      -2.839038282
         220,      -7.505881996,      -6.705775547,      -6.924525256,      -7.958540114,      -2.842346424
         221,      -7.547508971,      -6.705101164,      -6.926353682,      -7.957783837,      -2.844587655
         222,      -7.467732976,      -6.628553883,       -6.84374602,      -7.956023413,      -2.845243229
         223,      -7.539297498,      -6.710934734,      -6.933923394,      -7.953758034,      -2.846321003
         224,      -7.471377891,      -6.656348976,      -6.873097178,      -7.953816777,      -2.848715719
         225,      -7.465516845,      -6.627520008,      -6.842948552,      -7.951733374,      -2.850534921
         226,      -7.566923108,      -6.720383197,      -6.946614374,      -7.950616444,      -2.855132697
         227,      -7.498880706,      -6.660581695,      -6.880708938,      -7.950808572,      -2.858309204
         228,      -7.404898793,      -6.586030602,      -6.798528361,      -7.950652364,      -2.861141202
         229,      -7.574947268,      -6.728760867,      -6.955634623,      -7.949630984,      -2.864596421
         230,      -7.522328661,      -6.668425799,      -6.891661395,      -7.949530105,       -2.86556301
         231,      -7.423438197,      -6.587926594,      -6.803114078,      -7.947456438,      -2.864843795
         232,      -7.487813894,      -6.669036545,      -6.888558699,      -7.945020368,      -2.863918755
         233,      -7.524956857,      -6.672082629,      -6.895549137,      -7.942575655,       -2.86432528
         234,      -7.439526027,      -6.592112022,       -6.81080511,      -7.941896316,      -2.868744372
         235,      -7.516334915,      -6.677340555,      -6.900055413,      -7.941933717,      -2.873549148
         236,      -7.449735583,      -6.619721816,      -6.838558017,      -7.943872892,      -2.878384368
         237,      -7.438648427,      -6.592682417,      -6.811465556,      -7.943168994,       -2.88258571
         238,      -7.543223127,      -6.689586033,      -6.916386703,      -7.942477999,      -2.885030539
         239,      -7.473846657,      -6.627032765,      -6.849022664,      -7.942166876,      -2.886194846
         240,      -7.379859824,      -6.550224225,      -6.765369449,      -7.938725831,      -2.886473648
         241,      -7.550479353,      -6.699675726,      -6.925917993,      -7.936120777,      -2.888364221
         242,      -7.496338441,      -6.637912535,      -6.863352179,      -7.936690955,       -2.89078563
         243,      -7.395319179,       -6.55515629,      -6.772176914,      -7.935917242,       -2.89283577
         244,      -7.459436188,      -6.636995875,      -6.852654697,      -7.935730579,      -2.896139395
         245,      -7.496346519,      -6.643576742,      -6.867170254,      -7.936117024,       -2.89878457
         246,      -7.409847451,      -6.562313924,        -6.7823293,      -7.934563039,      -2.901742269
         247,      -7.482968281,      -6.649094486,      -6.866730284,      -7.932258104,      -2.903186853
         248,      -7.417644655,      -6.589791892,      -6.804481535,      -7.932268459,      -2.906170061
         249,      -7.405738828,      -6.565125784,      -6.782665861,      -7.931116161,      -2.910675242
         250,      -7.504940953,      -6.664679467,       -6.88491406,        -7.9311949,      -2.914659756
         251,      -7.437038116,      -6.600568732,      -6.817111056,      -7.932456065,       -2.91689017
         252,       -7.34364943,      -6.522252297,      -6.731864957,      -7.930443325,      -2.920517436
         253,       -7.50449988,       -6.67673822,      -6.891674447,      -7.927856071,      -2.922165242
         254,      -7.455107499,      -6.614597615,      -6.833330803,      -7.926763206,      -2.922775291
         255,      -7.355124538,      -6.530400019,      -6.740542463,      -7.925588108,      -2.925548188
         256,       -7.40912871,      -6.612204818,      -6.810733694,      -7.925011809,      -2.929463874
         257,      -7.446813095,      -6.622276316,      -6.833905507,      -7.925539717,      -2.931885687
         258,       -7.36436663,      -6.540160181,      -6.751105291,      -7.924052923,      -2.935100294
         259,      -7.426491987,      -6.627656557,      -6.826528286,      -7.922751354,      -2.937026092
         260,      -7.365719773,       -6.56721428,        -6.7650161,      -7.921024864,      -2.938848276
         261,      -7.353258812,      -6.544652004,      -6.748371353,      -7.919246672,      -2.942867641
         262,      -7.440922051,      -6.645951949,      -6.844768969,      -7.919472491,      -2.946538515
         263,      -7.380116191,      -6.580651846,      -6.779290498,      -7.920644588,      -2.948942906
         264,      -7.289805799,      -6.500952536,      -6.692932122,      -7.917968476,      -2.952257444
         265,      -7.431129954,      -6.659092047,      -6.846281208,      -7.915020242,      -2.953670443
         266,      -7.391066566,      -6.596856458,      -6.794802343,      -7.914799684,       -2.95561245
         267,      -7.296442113,      -6.511136411,      -6.701835358,      -7.913740322,       -2.95841206
         268,      -7.339702879,      -6.592528198,      -6.761286072,      -7.912698866,      -2.962021027
         269,      -7.375157936,      -6.605353366,      -6.790571451,      -7.913202782,      -2.964710341
         270,       -7.30019298,      -6.522600327,      -6.711461341,      -7.910759914,      -2.966795689
         271,      -7.349808886,      -6.609786754,      -6.776028396,      -7.908704449,       -2.96831745
         272,      -7.296777751,      -6.548506125,      -6.717267188,      -7.908278851,       -2.97159899
         273,      -7.284992233,        -6.5275729,      -6.705581326,      -7.906180779,      -2.975365125
         274,      -7.358183313,      -6.629604182,      -6.792240383,      -7.906310213,      -2.979234916
         275,       -7.30691665,       -6.56432401,      -6.731572912,      -7.907330451,      -2.981019801
         276,      -7.223778118,      -6.483754373,      -6.647117014,      -7.901684639,      -2.983157393
         277,      -7.346290379,      -6.643361995,      -6.790165363,      -7.900495866,      -2.986155593
         278,      -7.315434914,      -6.581783129,      -6.746820446,      -7.901660961,      -2.988922694
         279,      -7.228608725,      -6.495414321,      -6.656612061,      -7.900920585,      -2.992233011
         280,      -7.262603267,       -6.57575902,      -6.704949533,       -7.89843531,       -2.99514299
         281,      -7.300062648,      -6.590976567,      -6.740929247,      -7.896715263,      -2.996469953
         282,      -7.232859153,      -6.508010273,      -6.667030012,      -7.894704552,       -2.99971979
         283,      -7.274112201,      -6.594590617,      -6.722352838,      -7.895680626,      -3.003487104
         284,      -7.227075115,      -6.533731153,      -6.666628076,      -7.895075688,      -3.006612458
         285,      -7.218531294,      -6.514356063,      -6.660080991,      -7.892049478,       -3.00931369
         286,      -7.284850436,      -6.615084162,      -6.740540997,       -7.88966058,      -3.011963986
         287,      -7.238521095,      -6.550702167,      -6.682919254,      -7.891603255,      -3.014734746
         288,      -7.159969364,      -6.470981521,      -6.599366846,       -7.88836727,      -3.018810048
         289,      -7.275266133,      -6.629353144,      -6.737816417,       -7.88747823,      -3.021675495
         290,      -7.250921791,      -6.569739152,      -6.700788592,      -7.887313812,      -3.023708251
         291,      -7.169710961,      -6.485417076,      -6.612616921,      -7.885752495,      -3.026761411
         292,      -7.198719517,      -6.563084978,      -6.653138882,      -7.884244393,      -3.031001867
         293,      -7.239717726,       -6.58026569,      -6.695531124,      -7.885078479,       -3.03333789
         294,      -7.179393967,      -6.500827531,      -6.626258111,      -7.882579132,      -3.036030263
         295,      -7.215557221,      -6.584182868,      -6.674679733,      -7.882494549,      -3.039334403
         296,      -7.173835383,      -6.525666765,      -6.620973232,      -7.882481966,      -3.042846354
         297,      -7.169738229,       -6.50977971,      -6.620667821,      -7.880044133,      -3.045576455
         298,      -7.232047787,      -6.607403207,      -6.696893508,      -7.879240835,       -3.04886627
         299,      -7.192383301,      -6.546367062,      -6.643015404,      -7.881945564,      -3.052056899
         300,      -7.120716785,      -6.470443607,      -6.561287247,      -7.878485127,      -3.055568062
         301,      -7.228245577,      -6.622676723,      -6.696284121,      -7.877770119,      -3.058069135
         302,      -7.209867254,       -6.56852544,      -6.664293798,      -7.878785798,      -3.060260136
         303,      -7.137715573,       -6.49085459,      -6.580314885,       -7.87897632,      -3.063378172
         304,      -7.163857041,       -6.56297312,      -6.614145748,      -7.876757694,      -3.066079366
         305,      -7.202910057,      -6.581744964,      -6.660025797,      -7.877957872,      -3.068197826
         306,      -7.151929951,      -6.511718843,        -6.5970492,      -7.877038226,      -3.071820213
         307,      -7.185711143,      -6.590768683,      -6.640809019,      -7.878933411,      -3.075420501
         308,       -7.14620199,      -6.534594226,       -6.58568718,       -7.87871424,      -3.078010566
         309,      -7.149055448,      -6.526150845,      -6.595504476,      -7.876749903,      -3.078917452
         310,      -7.206158634,      -6.619039098,      -6.666786773,      -7.878357021,       -3.08231503
         311,      -7.171060173,      -6.563806901,      -6.615203066,      -7.882455776,      -3.085071273
         312,      -7.104993629,      -6.494148026,      -6.534272969,      -7.878243484,      -3.086467377
         313,      -7.208814644,      -6.639762435,      -6.671915153,      -7.879757995,      -3.088515957
         314,      -7.194330721,        -6.5923783,      -6.644154455,      -7.883019114,      -3.092218037
         315,      -7.131737131,      -6.522944796,      -6.565032244,      -7.883913849,      -3.095425326
         316,      -7.153505836,      -6.588433768,      -6.593172034,       -7.88302222,      -3.098075718
         317,      -7.197820903,      -6.611621564,      -6.651258767,      -7.886465612,      -3.099822071
         318,       -7.15798455,      -6.548757169,      -6.595842428,      -7.886696213,      -3.102903459
         319,      -7.190366492,      -6.625118913,       -6.63900162,      -7.890574939,      -3.106280268
         320,      -7.155433645,      -6.569015319,      -6.585685236,      -7.892664745,      -3.109153536
         321,      -7.171504835,      -6.565999283,      -6.611348366,      -7.892843619,      -3.110453276
